"respname"	"contrast"	"diff"	"lwr"	"upr"	"p.adj"
"Community biomass (g)"	"2-1"	"1.90288095238095"	"-17.6432446415092"	"21.4490065462711"	"0.994229136351716"
"Community biomass (g)"	"4-1"	"-4.29885467980296"	"-24.0069994799534"	"15.4092901203474"	"0.941149056079075"
"Community biomass (g)"	"5-1"	"-4.36745238095239"	"-23.9135779748425"	"15.1786732129377"	"0.937115258646541"
"Community biomass (g)"	"4-2"	"-6.20173563218391"	"-25.5727655005876"	"13.1692942362198"	"0.837766412047487"
"Community biomass (g)"	"5-2"	"-6.27033333333333"	"-25.476500374964"	"12.9358337082973"	"0.829682664086061"
"Community biomass (g)"	"5-4"	"-0.0685977011494217"	"-19.4396275695531"	"19.3024321672543"	"0.999999715299987"
"Community biomass (g)"	"P-N"	"8.91490789473685"	"0.819393404287691"	"17.010422385186"	"0.0271551255690387"
"Community biomass (g)"	"S-N"	"54.7489271255061"	"46.6030058641189"	"62.8948483868933"	"2.43138842392909e-14"
"Community biomass (g)"	"S-P"	"45.8340192307693"	"37.7919058144974"	"53.8761326470411"	"2.43138842392909e-14"
"Community biomass (g)"	"1_P-1_N"	"15.20875"	"-7.08243618495866"	"37.4999361849587"	"0.496551897384776"
"Community biomass (g)"	"1_S-1_N"	"68.47075"	"46.1795638150413"	"90.7619361849587"	"1.21458398893992e-13"
"Community biomass (g)"	"2_N-1_N"	"2.30874999999997"	"-19.9824361849587"	"24.5999361849586"	"0.999999940217582"
"Community biomass (g)"	"2_P-1_N"	"21.03975"	"-1.25143618495866"	"43.3309361849587"	"0.0833468025678463"
"Community biomass (g)"	"2_S-1_N"	"72.01675"	"49.7255638150413"	"94.3079361849586"	"1.02251540567977e-13"
"Community biomass (g)"	"4_N-1_N"	"10.42075"	"-11.8704361849586"	"32.7119361849587"	"0.918304083243025"
"Community biomass (g)"	"4_P-1_N"	"12.11075"	"-10.1804361849587"	"34.4019361849587"	"0.805432413908757"
"Community biomass (g)"	"4_S-1_N"	"57.4109722222222"	"34.5760186624423"	"80.2459257820022"	"1.49278367445049e-11"
"Community biomass (g)"	"5_N-1_N"	"13.45475"	"-8.83643618495866"	"35.7459361849587"	"0.680399509537058"
"Community biomass (g)"	"5_P-1_N"	"14.86275"	"-7.42843618495865"	"37.1539361849587"	"0.532965841994226"
"Community biomass (g)"	"5_S-1_N"	"48.23675"	"25.9455638150414"	"70.5279361849587"	"5.21973397837883e-09"
"Community biomass (g)"	"1_S-1_P"	"53.262"	"32.2456681172318"	"74.2783318827682"	"1.06358255536065e-11"
"Community biomass (g)"	"2_N-1_P"	"-12.9"	"-33.9163318827682"	"8.11633188276817"	"0.657160170098304"
"Community biomass (g)"	"2_P-1_P"	"5.831"	"-15.1853318827682"	"26.8473318827682"	"0.998680031315234"
"Community biomass (g)"	"2_S-1_P"	"56.808"	"35.7916681172318"	"77.8243318827682"	"7.17093051605389e-13"
"Community biomass (g)"	"4_N-1_P"	"-4.78799999999999"	"-25.8043318827682"	"16.2283318827682"	"0.999794048363366"
"Community biomass (g)"	"4_P-1_P"	"-3.09800000000001"	"-24.1143318827682"	"17.9183318827682"	"0.999997484569356"
"Community biomass (g)"	"4_S-1_P"	"42.2022222222222"	"20.6099937973589"	"63.7944506470855"	"1.53073325237507e-07"
"Community biomass (g)"	"5_N-1_P"	"-1.754"	"-22.7703318827682"	"19.2623318827682"	"0.999999994159263"
"Community biomass (g)"	"5_P-1_P"	"-0.345999999999997"	"-21.3623318827682"	"20.6703318827682"	"1"
"Community biomass (g)"	"5_S-1_P"	"33.028"	"12.0116681172318"	"54.0443318827682"	"4.91245213677383e-05"
