"Estimate"	"MCMCmean"	"HPD95lower"	"HPD95upper"	"pMCMC"	"Pr(>|t|)"
"mvabund.(Intercept)"	" 55.734"	" 55.231"	" 43.912"	"66.956"	"0.0001"	"0.0000"
"mvabund.mvtrt.L"	" 38.714"	" 38.159"	" 16.489"	"60.517"	"0.0010"	"0.0006"
"mvabund.mvtrt.Q"	" -3.435"	" -3.688"	"-30.178"	"22.365"	"0.7782"	"0.7972"
"mvabund.mvtrt.C"	" -5.478"	" -5.528"	"-25.820"	"15.081"	"0.6024"	"0.6009"
"mvabund.logtotal"	"-11.650"	"-11.513"	"-14.630"	"-8.500"	"0.0001"	"0.0000"
"mvabund.mvtrt.L:logtotal"	" -7.825"	" -7.682"	"-13.774"	"-1.881"	"0.0132"	"0.0100"
"mvabund.mvtrt.Q:logtotal"	"  1.141"	"  1.220"	" -5.974"	" 8.413"	"0.7342"	"0.7531"
"mvabund.mvtrt.C:logtotal"	"  1.688"	"  1.701"	" -3.823"	" 7.293"	"0.5546"	"0.5527"
"mvrelabund.(Intercept)"	"270.9109"	"268.7795"	"236.06"	"301.707"	"0.0001"	"0.0000"
"mvrelabund.mvtrt.L"	"105.1196"	"103.4108"	" 41.13"	"165.437"	"0.0018"	"0.0011"
"mvrelabund.mvtrt.Q"	"  6.3092"	"  5.9853"	"-67.12"	" 85.935"	"0.8776"	"0.8678"
"mvrelabund.mvtrt.C"	" -0.0247"	"  0.0508"	"-58.72"	" 59.318"	"0.9910"	"0.9993"
"mvrelabund.logtotal"	"-61.0551"	"-60.4895"	"-69.42"	"-51.905"	"0.0001"	"0.0000"
"mvrelabund.mvtrt.L:logtotal"	"-22.8818"	"-22.4541"	"-39.16"	" -5.437"	"0.0098"	"0.0080"
"mvrelabund.mvtrt.Q:logtotal"	" -2.0349"	" -1.9286"	"-22.80"	" 18.517"	"0.8508"	"0.8431"
"mvrelabund.mvtrt.C:logtotal"	"  0.6949"	"  0.6733"	"-15.76"	" 16.280"	"0.9398"	"0.9312"
"soilmoi.(Intercept)"	"100.744"	"100.821"	" 94.0198"	"107.3098"	"0.0001"	"0.0000"
"soilmoi.mvtrt.L"	" -4.608"	" -4.636"	"-17.5343"	"  8.3056"	"0.4746"	"0.4802"
"soilmoi.mvtrt.Q"	"-14.869"	"-14.808"	"-30.2929"	"  0.6974"	"0.0646"	"0.0632"
