potid	bk	julydate	type	comptrt	mvtrt	mivi	pavi	sobi	weed	nhdi	nodi	totdi	ammonifd	nitrifd	minzd	soilmoi	notes
1	1	16	Mivi	N	6	25.35	NA	NA	0.00	3.9354	43.5426	47.4780	-0.2734	3.6092	3.3358	73.04	NA
17	2	16	Mivi	N	6	26.07	NA	NA	0.00	4.3652	56.5225	60.8877	-0.3516	5.6890	5.3374	79.23	NA
33	3	18	Mivi	N	6	22.85	NA	NA	0.00	7.4500	20.5596	28.0096	-0.5754	6.1599	5.5845	77.03	NA
49	4	19	Mivi	N	6	42.42	NA	NA	0.00	13.4369	20.5201	33.9570	-1.0580	6.1095	5.0515	73.91	NA
65	5	20	Mivi	N	6	41.36	NA	NA	0.00	8.6270	25.0031	33.6301	-0.7151	-0.5473	-1.2623	75.37	NA
81	6	20	Mivi	N	6	49.47	NA	NA	0.00	5.5843	51.4392	57.0235	-0.4329	-3.3305	-3.7634	69.38	NA
97	7	22	Mivi	N	6	38.75	NA	NA	0.00	7.2174	68.0622	75.2796	6.8163	1.3858	8.2021	81.76	NA
113	8	22	Mivi	N	6	41.66	NA	NA	0.14	5.8624	46.0081	51.8705	-0.2939	-2.7087	-3.0025	81.34	NA
129	9	27	Mivi	N	6	38.33	NA	NA	0.00	8.4484	73.2707	81.7191	-0.6623	-5.5971	-6.2594	79.30	NA
145	10	27	Mivi	N	6	36.48	NA	NA	0.00	0.8383	0.0174	0.8557	-0.0563	1.3718	1.3155	77.22	NO3 and NH4 outlier
2	1	16	CompEmpty	N	5	27.76	NA	NA	0.00	8.6514	30.2962	38.9476	1.4520	4.4545	5.9066	76.72	NA
7	1	16	CompSobi	S	5	6.77	NA	46.32	0.00	10.2075	15.2052	25.4127	-0.7996	5.2469	4.4473	74.47	NA
12	1	16	CompPavi	P	5	21.16	4.50	NA	0.00	2.3465	49.4300	51.7765	-0.1214	2.6254	2.5040	78.80	NA
18	2	16	CompEmpty	N	5	25.64	NA	NA	0.00	3.2316	42.4984	45.7300	-0.2166	-1.5711	-1.7878	78.66	NA
23	2	16	CompSobi	S	5	2.16	NA	44.96	0.00	11.0322	17.8474	28.8796	-0.8864	4.5898	3.7034	78.20	NA
28	2	16	CompPavi	P	5	19.10	5.22	NA	0.00	13.2257	36.8813	50.1070	-1.0533	3.2075	2.1542	80.00	NA
34	3	18	CompEmpty	N	5	14.75	NA	NA	0.00	12.2648	25.4556	37.7204	-0.9793	-0.6662	-1.6455	77.40	NA
39	3	18	CompSobi	S	5	2.70	NA	39.47	0.31	15.6248	11.7336	27.3584	-1.2868	5.9507	4.6639	81.82	NA
44	3	18	CompPavi	P	5	33.74	3.88	NA	0.10	21.0548	20.5639	41.6187	-1.7350	6.4880	4.7530	78.80	NA
50	4	19	CompEmpty	N	5	35.79	NA	NA	0.00	6.8470	18.3215	25.1686	-0.5139	-0.4597	-0.9736	62.50	NA
55	4	19	CompSobi	S	5	3.44	NA	54.40	0.00	11.4462	12.3045	23.7507	-0.9404	0.7336	-0.2068	72.07	NA
