"potid"	"bk"	"type"	"comptrt"	"mvtrt"	"mivi"	"total"	"soilmeas"	"soilval"
"1"	1	1	"Mivi"	"N"	6	25.35	25.35	"nhdi"	3.9354
"2"	17	2	"Mivi"	"N"	6	26.07	26.07	"nhdi"	4.3652
"3"	33	3	"Mivi"	"N"	6	22.85	22.85	"nhdi"	7.45
"4"	49	4	"Mivi"	"N"	6	42.42	42.42	"nhdi"	13.4369
"5"	65	5	"Mivi"	"N"	6	41.36	41.36	"nhdi"	8.627
"6"	81	6	"Mivi"	"N"	6	49.47	49.47	"nhdi"	5.5843
"7"	97	7	"Mivi"	"N"	6	38.75	38.75	"nhdi"	7.2174
"8"	113	8	"Mivi"	"N"	6	41.66	41.66	"nhdi"	5.8624
"9"	129	9	"Mivi"	"N"	6	38.33	38.33	"nhdi"	8.4484
"10"	2	1	"CompEmpty"	"N"	5	27.76	27.76	"nhdi"	8.6514
"11"	7	1	"CompSobi"	"S"	5	6.77	53.09	"nhdi"	10.2075
"12"	12	1	"CompPavi"	"P"	5	21.16	25.66	"nhdi"	2.3465
"13"	18	2	"CompEmpty"	"N"	5	25.64	25.64	"nhdi"	3.2316
"14"	23	2	"CompSobi"	"S"	5	2.16	47.12	"nhdi"	11.0322
"15"	28	2	"CompPavi"	"P"	5	19.1	24.32	"nhdi"	13.2257
"16"	34	3	"CompEmpty"	"N"	5	14.75	14.75	"nhdi"	12.2648
"17"	39	3	"CompSobi"	"S"	5	2.7	42.17	"nhdi"	15.6248
"18"	44	3	"CompPavi"	"P"	5	33.74	37.62	"nhdi"	21.0548
"19"	50	4	"CompEmpty"	"N"	5	35.79	35.79	"nhdi"	6.847
"20"	55	4	"CompSobi"	"S"	5	3.44	57.84	"nhdi"	11.4462
"21"	60	4	"CompPavi"	"P"	5	14.58	25.08	"nhdi"	18.9962
"22"	66	5	"CompEmpty"	"N"	5	28.24	28.24	"nhdi"	6.3746
"23"	71	5	"CompSobi"	"S"	5	4.29	42.48	"nhdi"	10.4368
"24"	76	5	"CompPavi"	"P"	5	7.91	35.37	"nhdi"	11.3979
"25"	82	6	"CompEmpty"	"N"	5	36.76	36.76	"nhdi"	4.0772
"26"	87	6	"CompSobi"	"S"	5	3.03	78.19	"nhdi"	5.9024
"27"	92	6	"CompPavi"	"P"	5	28.45	31.6	"nhdi"	2.9659
"28"	98	7	"CompEmpty"	"N"	5	36.81	36.81	"nhdi"	8.7562
"29"	103	7	"CompSobi"	"S"	5	4.73	88.95	"nhdi"	4.4963
"30"	108	7	"CompPavi"	"P"	5	25.25	28.82	"nhdi"	13.4556
"31"	114	8	"CompEmpty"	"N"	5	27.75	27.75	"nhdi"	8.9126
"32"	119	8	"CompSobi"	"S"	5	4.86	86.15	"nhdi"	6.4325
"33"	124	8	"CompPavi"	"P"	5	26.63	32.98	"nhdi"	8.9663
"34"	130	9	"CompEmpty"	"N"	5	40.17	40.17	"nhdi"	8.6173
"35"	135	9	"CompSobi"	"S"	5	7.88	84.9	"nhdi"	3.7386
"36"	140	9	"CompPavi"	"P"	5	29.85	33.33	"nhdi"	6.1156
"37"	146	10	"CompEmpty"	"N"	5	35.59	35.59	"nhdi"	8.6812
"38"	151	10	"CompSobi"	"S"	5	13.05	76.19	"nhdi"	3.7328
"39"	156	10	"CompPavi"	"P"	5	30.94	48.56	"nhdi"	9.3698
"40"	3	1	"CompEmpty"	"N"	4	34.81	34.81	"nhdi"	1.8875
"41"	8	1	"CompSobi"	"S"	4	2.54	53.81	"nhdi"	3.7272
"42"	13	1	"CompPavi"	"P"	4	16.28	25.95	"nhdi"	5.6768
"43"	19	2	"CompEmpty"	"N"	4	30.35	30.35	"nhdi"	4.504
"44"	24	2	"CompSobi"	"S"	4	1.33	47.46	"nhdi"	24.9277
"45"	29	2	"CompPavi"	"P"	4	14.35	22.46	"nhdi"	4.3828
