"bk"	"type"	"comptrt"	"Mvtrt"	"Mvabund"	"pavi"	"sobi"	"MVrelabund"	"nhdi"	"nodi"	"nh.no"	"totdi"	"ammonifd"	"nitrifd"	"minzd"	"soilmoi"	"total"
"1"	"Empty"	"N"	"0"	0	0	0	0	2.0212	113.0142	0.0179	115.0354	-0.1403	8.6452	8.5049	83.06	0
"2"	"Empty"	"N"	"0"	0	0	0	0	10.0149	74.6131	0.1342	84.628	-0.7731	2.9896	2.2165	82.61	0
"3"	"Empty"	"N"	"0"	0	0	0	0	19.0947	85.1396	0.2243	104.2343	-1.5731	-5.6387	-7.2119	80.31	0
"4"	"Empty"	"N"	"0"	0	0	0	0	22.8036	43.4561	0.5247	66.2597	-1.879	2.7151	0.8361	80.26	0
"5"	"Empty"	"N"	"0"	0	0	0	0	5.4743	89.4789	0.0612	94.9532	-0.4404	2.1788	1.7384	80.97	0
"6"	"Empty"	"N"	"0"	0	0	0	0	4.4658	93.0122	0.048	97.478	-0.2827	-3.914	-4.1967	81.61	0
"7"	"Empty"	"N"	"0"	0	0	0	0	14.473	87.1059	0.1662	101.5789	-0.9615	-4.4636	-5.425	83.27	0
"8"	"Empty"	"N"	"0"	0	0	0	0	18.8261	63.9665	0.2943	82.7926	-1.3402	-3.5565	-4.8966	83.39	0
"9"	"Empty"	"N"	"0"	0	0	0	0	9.4341	80.085	0.1178	89.5191	-0.7843	-1.8819	-2.6662	80.8	0
"10"	"Empty"	"N"	"0"	0	0	0	0	10.2052	85.6741	0.1191	95.8793	-0.7706	0.5277	-0.2429	82.54	0
"1"	"CompEmpty"	"N"	"5"	27.76	0	0	100	8.6514	30.2962	0.2856	38.9476	1.452	4.4545	5.9066	76.72	27.76
"1"	"CompEmpty"	"N"	"4"	34.81	0	0	100	1.8875	32.9603	0.0573	34.8478	-0.1559	4.8917	4.7358	76.39	34.81
"1"	"CompEmpty"	"N"	"2"	16.16	0	0	100	9.8266	26.6491	0.3687	36.4757	-0.8171	3.9887	3.1716	80.75	16.16
"1"	"CompEmpty"	"N"	"1"	7.38	0	0	100	0.9203	58.1462	0.0158	59.0666	-0.0364	3.7805	3.7441	79.06	7.38
"2"	"CompEmpty"	"N"	"5"	25.64	0	0	100	3.2316	42.4984	0.076	45.73	-0.2166	-1.5711	-1.7878	78.66	25.64
"2"	"CompEmpty"	"N"	"4"	30.35	0	0	100	4.504	35.2932	0.1276	39.7971	-0.2601	-0.7278	-0.9879	77.99	30.35
"2"	"CompEmpty"	"N"	"2"	20.14	0	0	100	3.9949	34.0335	0.1174	38.0285	-0.3138	-1.0995	-1.4133	81.68	20.14
"2"	"CompEmpty"	"N"	"1"	15.19	0	0	100	11.3721	27.8875	0.4078	39.2597	-0.9114	0.2831	-0.6283	80.29	15.19
"3"	"CompEmpty"	"N"	"5"	14.75	0	0	100	12.2648	25.4556	0.4818	37.7204	-0.9793	-0.6662	-1.6455	77.4	14.75
"3"	"CompEmpty"	"N"	"4"	25.1	0	0	100	16.4479	20.2064	0.814	36.6543	-1.3548	0.1213	-1.2334	81.82	25.1
"3"	"CompEmpty"	"N"	"2"	33.16	0	0	100	5.4169	19.7009	0.275	25.1177	-0.445	1.079	0.6341	81.4	33.16
"4"	"CompEmpty"	"N"	"5"	35.79	0	0	100	6.847	18.3215	0.3737	25.1686	-0.5139	-0.4597	-0.9736	62.5	35.79
"4"	"CompEmpty"	"N"	"4"	21.9	0	0	100	19.9434	28.2054	0.7071	48.1488	-1.6431	-0.5361	-2.1793	80.84	21.9
"4"	"CompEmpty"	"N"	"2"	18.31	0	0	100	12.5974	17.9586	0.7015	30.556	-0.9015	0.8057	-0.0958	81.23	18.31
"4"	"CompEmpty"	"N"	"1"	13.51	0	0	100	13.5888	16.7907	0.8093	30.3794	-1.1108	0.641	-0.4699	75.68	13.51
