expt	potid	bk	comptrt	densitytrt	mivi	pavi	sobi	weed	total	percmivi	percpavi	percsobi	percweed	nhdi	nodi	totdi	percnodi	ammonifd	nitrifd	minzd	hdate	soilmoi	weedpres
E4	1	1	N	L0	25.35	NA	NA	0.00	25.35	100	0	0	0	3.9354	43.5426	47.4780	91.7111	0.0114	-0.1504	-0.1390	7/16/11	73.04	NW
E4	2	1	N	L1	27.76	NA	NA	0.00	27.76	100	0	0	0	8.6514	30.2962	38.9476	77.7871	-0.0605	-0.1856	-0.2461	7/16/11	76.72	NW
E4	3	1	N	L2	34.81	NA	NA	0.00	34.81	100	0	0	0	1.8875	32.9603	34.8478	94.5837	0.0065	-0.2038	-0.1973	7/16/11	76.39	NW
E4	4	1	N	L3	16.16	NA	NA	0.00	16.16	100	0	0	0	9.8266	26.6491	36.4757	73.0599	0.0340	-0.1662	-0.1322	7/16/11	80.75	NW
E4	5	1	N	L4	7.38	NA	NA	0.00	7.38	100	0	0	0	0.9203	58.1462	59.0666	98.4419	0.0015	-0.1575	-0.1560	7/16/11	79.06	W
E4	6	1	N	L5	0.00	NA	NA	0.00	0.00	0	0	0	0	2.0212	113.0142	115.0354	98.2429	0.0058	-0.3602	-0.3544	7/16/11	83.06	W
E4	7	1	S	L1	6.77	NA	46.32	0.00	53.09	13	0	87	0	10.2075	15.2052	25.4127	59.8331	0.0333	-0.2186	-0.1853	7/16/11	74.47	NW
E4	8	1	S	L2	2.54	NA	51.27	0.00	53.81	5	0	95	0	3.7272	15.0610	18.7883	80.1620	0.0098	-0.0477	-0.0379	7/16/11	74.47	NW
E4	9	1	S	L3	0.53	NA	63.23	0.00	63.76	1	0	99	0	12.8452	23.8076	36.6528	64.9544	0.0427	0.0124	0.0551	7/16/11	72.31	W
E4	10	1	S	L4	1.01	NA	68.25	0.00	69.26	1	0	99	0	3.7447	10.3303	14.0750	73.3949	0.0116	-0.0567	-0.0450	7/16/11	70.09	NW
E4	11	1	S	L5	NA	NA	52.06	0.00	52.06	0	0	100	0	2.7665	15.3332	18.0997	84.7152	0.0081	0.0007	0.0088	7/16/11	69.14	NW
E4	12	1	P	L1	21.16	4.50	NA	0.00	25.66	82	18	0	0	2.3465	49.4300	51.7765	95.4681	0.0051	-0.1094	-0.1043	7/16/11	78.80	NW
E4	13	1	P	L2	16.28	9.67	NA	0.00	25.95	63	37	0	0	5.6768	34.0102	39.6870	85.6961	0.0175	-0.0227	-0.0053	7/16/11	76.92	NW
E4	14	1	P	L3	10.90	25.56	NA	0.00	36.46	30	70	0	0	6.0211	15.2430	21.2640	71.6843	0.0161	-0.2319	-0.2157	7/16/11	69.29	NW
E4	15	1	P	L4	3.32	17.47	NA	0.00	20.79	16	84	0	0	12.0318	46.5145	58.5464	79.4491	0.0390	-0.3904	-0.3514	7/16/11	80.32	NW
E4	16	1	P	L5	NA	21.88	NA	0.00	21.88	0	100	0	0	2.9680	41.7658	44.7338	93.3651	0.0097	-0.2984	-0.2887	7/16/11	80.52	W
E4	17	2	N	L0	26.07	NA	NA	0.00	26.07	100	0	0	0	4.3652	56.5225	60.8877	92.8308	0.0147	-0.2370	-0.2224	7/16/11	79.23	NW
E4	18	2	N	L1	25.64	NA	NA	0.00	25.64	100	0	0	0	3.2316	42.4984	45.7300	92.9333	0.0090	0.0655	0.0745	7/16/11	78.66	NW
E4	19	2	N	L2	30.35	NA	NA	0.00	30.35	100	0	0	0	4.5040	35.2932	39.7971	88.6827	0.0108	0.0303	0.0412	7/16/11	77.99	NW
E4	20	2	N	L3	20.14	NA	NA	0.00	20.14	100	0	0	0	3.9949	34.0335	38.0285	89.4949	0.0131	0.0458	0.0589	7/16/11	81.68	NW
E4	21	2	N	L4	15.19	NA	NA	0.00	15.19	100	0	0	0	11.3721	27.8875	39.2597	71.0336	0.0380	-0.0118	0.0262	7/16/11	80.29	NW
E4	22	2	N	L5	0.00	NA	NA	0.00	0.00	0	0	0	0	10.0149	74.6131	84.6280	88.1659	0.0322	-0.1246	-0.0924	7/16/11	82.61	W
E4	23	2	S	L1	2.16	NA	44.96	0.00	47.12	5	0	95	0	11.0322	17.8474	28.8796	61.7993	0.0369	-0.1912	-0.1543	7/16/11	78.20	W
E4	24	2	S	L2	1.33	NA	46.13	0.00	47.46	3	0	97	0	24.9277	19.5023	44.4301	43.8945	0.0839	-0.4351	-0.3512	7/16/11	77.99	NW
E4	25	2	S	L3	0.51	NA	78.10	0.00	78.61	1	0	99	0	3.7734	20.9139	24.6874	84.7152	0.0096	-0.2215	-0.2120	7/16/11	77.78	NW
E4	26	2	S	L4	0.11	NA	55.10	0.00	55.21	0	0	100	0	16.6771	16.2694	32.9464	49.3813	0.0569	-0.2004	-0.1435	7/16/11	78.82	W
E4	27	2	S	L5	NA	NA	59.08	0.00	59.08	0	0	100	0	3.4664	10.4570	13.9234	75.1039	0.0087	-0.0094	-0.0007	7/16/11	75.09	NW
E4	28	2	P	L1	19.10	5.22	NA	0.00	24.32	79	21	0	0	13.2257	36.8813	50.1070	73.6051	0.0439	-0.1336	-0.0898	7/16/11	80.00	W
E4	29	2	P	L2	14.35	8.11	NA	0.00	22.46	64	36	0	0	4.3828	48.8061	53.1888	91.7600	0.0128	-0.1871	-0.1743	7/16/11	81.30	NW
E4	30	2	P	L3	12.41	18.75	NA	0.00	31.16	40	60	0	0	14.7566	26.4389	41.1955	64.1792	0.0441	-0.0317	0.0124	7/16/11	78.01	NW
E4	31	2	P	L4	7.39	33.15	NA	0.00	40.54	18	82	0	0	6.8767	12.3251	19.2018	64.1873	0.0199	-0.1887	-0.1688	7/16/11	74.24	NW
E4	32	2	P	L5	NA	27.60	NA	1.26	28.86	0	96	0	0	9.8184	16.4026	26.2210	62.5552	0.0324	-0.1133	-0.0809	7/16/11	80.49	W
E4	33	3	N	L0	22.85	NA	NA	0.00	22.85	100	0	0	0	7.4500	20.5596	28.0096	73.4021	0.0240	-0.2567	-0.2327	7/18/11	77.03	NW
E4	34	3	N	L1	14.75	NA	NA	0.00	14.75	100	0	0	0	12.2648	25.4556	37.7204	67.4850	0.0408	0.0278	0.0686	7/18/11	77.40	W
E4	35	3	N	L2	25.10	NA	NA	0.00	25.10	100	0	0	0	16.4479	20.2064	36.6543	55.1270	0.0564	-0.0051	0.0514	7/18/11	81.82	W
E4	36	3	N	L3	33.16	NA	NA	0.00	33.16	100	0	0	0	5.4169	19.7009	25.1177	78.4341	0.0185	-0.0450	-0.0264	7/18/11	81.40	W
E4	37	3	N	L4	17.38	NA	NA	0.00	17.38	100	0	0	0	11.5385	19.6001	31.1386	62.9446	0.0289	-0.0024	0.0265	7/18/11	79.35	NW
E4	38	3	N	L5	0.00	NA	NA	0.00	0.00	0	0	0	0	19.0947	85.1396	104.2343	81.6810	0.0655	0.2349	0.3005	7/18/11	80.31	W
E4	39	3	S	L1	2.70	NA	39.47	0.31	42.48	6	0	93	1	15.6248	11.7336	27.3584	42.8886	0.0536	-0.2479	-0.1943	7/18/11	81.82	W
E4	40	3	S	L2	2.53	NA	63.31	0.00	65.84	4	0	96	0	5.5585	13.7382	19.2967	71.1945	0.0190	-0.0156	0.0035	7/18/11	78.07	NW
E4	41	3	S	L3	1.19	NA	60.04	0.25	61.48	2	0	98	0	2.1873	10.3418	12.5292	82.5419	0.0031	-0.0570	-0.0539	7/18/11	58.41	W
E4	42	3	S	L4	0.35	NA	78.06	0.00	78.41	0	0	100	0	4.7597	15.1366	19.8963	76.0773	0.0130	-0.0111	0.0019	7/18/11	71.24	NW
E4	43	3	S	L5	NA	NA	60.18	0.00	60.18	0	0	100	0	6.6683	16.3722	23.0405	71.0584	0.0219	-0.0299	-0.0081	7/18/11	78.04	NW
E4	44	3	P	L1	33.74	3.88	NA	0.10	37.72	89	10	0	0	21.0548	20.5639	41.6187	49.4102	0.0723	-0.2703	-0.1980	7/18/11	78.80	W
E4	45	3	P	L2	19.81	5.68	NA	0.00	25.49	78	22	0	0	9.8183	16.4992	26.3175	62.6929	0.0333	-0.1585	-0.1252	7/18/11	78.07	NW
E4	46	3	P	L3	6.54	17.51	NA	0.00	24.05	27	73	0	0	16.8035	19.4585	36.2620	53.6609	0.0571	-0.2496	-0.1925	7/18/11	81.91	W
