mivi	pavi	total	percmivibiom	nhdi	nodi	totdi	ammonifd	nitrifd	minzd
33.74	3.88	37.72	89	21.05	20.56	41.6187	-1.7350	6.4880	4.7530
30.94	17.62	48.56	64	9.37	14.65	24.0233	-0.7481	5.1111	4.3631
29.85	3.48	34.41	87	6.12	16.76	22.8793	-0.4513	-0.3665	-0.8178
28.45	3.15	31.60	90	2.97	54.29	57.2602	-0.1633	-4.1105	-4.2738
26.63	6.35	32.98	81	8.97	37.14	46.1049	-0.7299	0.8419	0.1120
25.25	3.57	28.82	88	13.46	18.72	32.1778	-0.9083	2.6096	1.7013
24.08	4.31	28.39	85	8.02	51.91	59.9269	-0.5183	0.2228	-0.2955
21.16	4.50	25.66	82	2.35	49.43	51.7765	-0.1214	2.6254	2.5040
19.95	16.40	36.35	55	3.32	28.23	31.5490	-0.2514	-1.5403	-1.7917
19.81	5.68	25.49	78	9.82	16.50	26.3175	-0.7998	3.8038	3.0041
19.12	12.00	31.12	61	4.42	66.46	70.8799	-0.3143	-4.7902	-5.1045
19.10	5.22	24.32	79	13.23	36.88	50.1070	-1.0533	3.2075	2.1542
17.94	43.37	61.73	29	4.67	34.57	39.2378	-0.3724	-2.0508	-2.4232
17.88	17.24	35.12	51	5.99	19.63	25.6222	-0.4919	1.3348	0.8429
16.28	9.67	25.95	63	5.68	34.01	39.6870	-0.4188	0.5460	0.1271
15.19	21.13	36.32	42	7.99	38.69	46.6804	-0.5694	-2.8502	-3.4196
14.58	10.50	25.08	58	19.00	22.99	41.9892	-1.5560	1.5109	-0.0450
14.35	8.11	22.46	64	4.38	48.81	53.1888	-0.3083	4.4915	4.1832
12.86	26.45	39.31	33	7.72	19.13	26.8578	-0.6420	2.1264	1.4844
12.41	18.75	31.16	40	14.76	26.44	41.1955	-1.0581	0.7614	-0.2968
10.90	25.56	36.46	30	6.02	15.24	21.2640	-0.3869	5.5646	5.1778
10.86	36.66	47.59	23	8.15	53.87	62.0173	-0.5122	2.4369	1.9246
10.79	12.95	23.74	45	12.55	27.07	39.6224	-0.9861	2.8473	1.8612
9.98	24.98	34.96	29	9.29	21.50	30.7890	-0.7079	-0.0604	-0.7684
8.80	25.81	35.06	25	11.10	17.56	28.6595	-0.8438	-0.2761	-1.1199
8.13	20.05	28.18	29	7.03	22.24	29.2718	-0.5421	-1.1560	-1.6980
7.97	24.16	32.13	25	15.18	59.00	74.1821	-1.2162	-0.9740	-2.1902
7.91	27.46	35.37	22	11.40	31.11	42.5036	-0.8631	1.2451	0.3820
7.39	33.15	40.54	18	6.88	12.33	19.2018	-0.4771	4.5276	4.0505
7.31	32.22	39.53	18	25.00	22.62	47.6217	-2.0600	2.8074	0.7473
6.72	20.03	26.75	25	15.70	27.57	43.2714	-1.2933	3.0624	1.7691
6.54	17.51	24.05	27	16.80	19.46	36.2620	-1.3692	5.9897	4.6205
5.72	28.48	34.20	17	8.49	19.95	28.4410	-0.6907	0.6555	-0.0352
5.55	33.59	39.14	14	3.12	11.84	14.9623	-0.1401	-0.4842	-0.6243
5.40	30.41	35.81	15	11.70	25.18	36.8809	-0.8865	1.7193	0.8328
5.30	22.59	27.89	19	19.19	24.40	43.5883	-1.5619	4.4390	2.8771
4.47	26.93	31.81	14	22.10	41.25	63.3443	-1.6254	2.9220	1.2966
4.20	37.24	41.44	10	5.80	10.11	15.9052	-0.4732	3.9021	3.4289
3.32	17.47	20.79	16	12.03	46.51	58.5464	-0.9352	9.3692	8.4340
0.32	35.29	35.61	1	5.86	37.35	43.2162	-0.4200	-0.3567	-0.7767
