mivi	percmivibiom	nhdi	nitrifd
6.77	13	10.21	5.2469
2.16	5	11.03	4.5898
2.7	6	15.62	5.9507
3.44	6	11.45	0.7336
4.29	10	10.44	1.9828
3.03	4	5.9	-2.5082
4.73	5	4.5	-1.8155
4.86	6	6.43	-2.0466
7.88	9	3.74	0.3134
13.05	17	3.73	0.878
2.54	5	3.73	1.1436
1.33	3	24.93	10.4434
2.53	4	5.56	0.3735
5.36	8	17.63	0.6126
2.62	4	14.19	1.5267
2.86	3	2.01	-1.5745
4.55	7	6.1	-2.4818
4.09	3	1.29	-1.5178
0.61	1	1	1.2135
1.52	2	4.15	0.7007
0.53	1	12.85	-0.2979
0.51	1	3.77	5.317
1.19	2	2.19	1.369
0.45	0	11.23	-1.2052
0.75	1	1.45	-0.4634
0.67	1	5.91	-0.5023
0.57	0	12.87	-1.5929
0.54	0	1.81	-1.6886
0.58	1	0.38	0.2043
0.35	0	2.59	-1.0036
1.01	1	3.74	1.3598
0.11	0	16.68	4.8091
0.35	0	4.76	0.2668
0.37	0	12.21	0.3887
0.16	0	6.32	-0.8567
0.31	0	7.61	-0.8573
0.03	0	2.39	-1.8279
0.33	0	1.34	-1.3484
0.81	1	1.28	-0.4482
2.24	3	2.21	0.1206
