mivi	percmivibiom	nitrifd
6.77	13	5.2469
2.16	5	4.5898
2.7	6	5.9507
3.44	6	0.7336
4.29	10	1.9828
3.03	4	-2.5082
4.73	5	-1.8155
4.86	6	-2.0466
7.88	9	0.3134
13.05	17	0.878
2.54	5	1.1436
1.33	3	10.4434
2.53	4	0.3735
5.36	8	0.6126
2.62	4	1.5267
2.86	3	-1.5745
4.55	7	-2.4818
4.09	3	-1.5178
0.61	1	1.2135
1.52	2	0.7007
0.53	1	-0.2979
0.51	1	5.317
1.19	2	1.369
0.45	0	-1.2052
0.75	1	-0.4634
0.67	1	-0.5023
0.57	0	-1.5929
0.54	0	-1.6886
0.58	1	0.2043
0.35	0	-1.0036
1.01	1	1.3598
0.11	0	4.8091
0.35	0	0.2668
0.37	0	0.3887
0.16	0	-0.8567
0.31	0	-0.8573
0.03	0	-1.8279
0.33	0	-1.3484
0.81	1	-0.4482
2.24	3	0.1206
