expt	potid	bk	julydate	comptrt	densitytrt	mivi	pavi	sobi	weed	total	percmivibiom	percweed	miviind	paviind	sobiind	percmiviind	miviperind	paviperind	sobiperind	nhdi	nodi	totdi	ammonifd	nitrifd	minzd	soilmoi	notes
E4	1	1	16	N	L0	25.35	NA	NA	0	25.35	100	0	6	0	0	100	4.23	NA	NA	3.9354	43.5426	47.478	0.0114	-0.1504	-0.139	73.04	NA
E4	2	1	16	N	L1	27.76	NA	NA	0	27.76	100	0	5	0	0	83	5.55	NA	NA	8.6514	30.2962	38.9476	-0.0605	-0.1856	-0.2461	76.72	NA
E4	3	1	16	N	L2	34.81	NA	NA	0	34.81	100	0	4	0	0	67	8.7	NA	NA	1.8875	32.9603	34.8478	0.0065	-0.2038	-0.1973	76.39	NA
E4	4	1	16	N	L3	16.16	NA	NA	0	16.16	100	0	2	0	0	33	8.08	NA	NA	9.8266	26.6491	36.4757	0.034	-0.1662	-0.1322	80.75	NA
E4	5	1	16	N	L4	7.38	NA	NA	0	7.38	100	0	1	0	0	17	7.38	NA	NA	0.9203	58.1462	59.0666	0.0015	-0.1575	-0.156	79.06	NA
E4	17	2	16	N	L0	26.07	NA	NA	0	26.07	100	0	6	0	0	100	4.35	NA	NA	4.3652	56.5225	60.8877	0.0147	-0.237	-0.2224	79.23	NA
E4	18	2	16	N	L1	25.64	NA	NA	0	25.64	100	0	5	0	0	83	5.13	NA	NA	3.2316	42.4984	45.73	0.009	0.0655	0.0745	78.66	NA
E4	19	2	16	N	L2	30.35	NA	NA	0	30.35	100	0	4	0	0	67	7.59	NA	NA	4.504	35.2932	39.7971	0.0108	0.0303	0.0412	77.99	NA
E4	20	2	16	N	L3	20.14	NA	NA	0	20.14	100	0	2	0	0	33	10.07	NA	NA	3.9949	34.0335	38.0285	0.0131	0.0458	0.0589	81.68	NA
E4	21	2	16	N	L4	15.19	NA	NA	0	15.19	100	0	1	0	0	17	15.19	NA	NA	11.3721	27.8875	39.2597	0.038	-0.0118	0.0262	80.29	NA
E4	33	3	18	N	L0	22.85	NA	NA	0	22.85	100	0	6	0	0	100	3.81	NA	NA	7.45	20.5596	28.0096	0.024	-0.2567	-0.2327	77.03	NA
E4	34	3	18	N	L1	14.75	NA	NA	0	14.75	100	0	5	0	0	83	2.95	NA	NA	12.2648	25.4556	37.7204	0.0408	0.0278	0.0686	77.4	NA
E4	35	3	18	N	L2	25.1	NA	NA	0	25.1	100	0	4	0	0	67	6.28	NA	NA	16.4479	20.2064	36.6543	0.0564	-0.0051	0.0514	81.82	NA
E4	36	3	18	N	L3	33.16	NA	NA	0	33.16	100	0	2	0	0	33	16.58	NA	NA	5.4169	19.7009	25.1177	0.0185	-0.045	-0.0264	81.4	NA
E4	37	3	18	N	L4	17.38	NA	NA	0	17.38	100	0	1	0	0	17	17.38	NA	NA	11.5385	19.6001	31.1386	0.0289	-0.0024	0.0265	79.35	"branch fell off and was collected, labeled, put into drying oven"
E4	49	4	19	N	L0	42.42	NA	NA	0	42.42	100	0	6	0	0	100	7.07	NA	NA	13.4369	20.5201	33.957	0.0441	-0.2546	-0.2105	73.91	NA
E4	50	4	19	N	L1	35.79	NA	NA	0	35.79	100	0	5	0	0	83	7.16	NA	NA	6.847	18.3215	25.1686	0.0214	0.0192	0.0406	62.5	NA
E4	51	4	19	N	L2	21.9	NA	NA	0	21.9	100	0	4	0	0	67	5.48	NA	NA	19.9434	28.2054	48.1488	0.0685	0.0223	0.0908	80.84	NA
E4	52	4	19	N	L3	18.31	NA	NA	0	18.31	100	0	2	0	0	33	9.16	NA	NA	12.5974	17.9586	30.556	0.0376	-0.0336	0.004	81.23	NA
E4	53	4	19	N	L4	13.51	NA	NA	0	13.51	100	0	1	0	0	17	13.51	NA	NA	13.5888	16.7907	30.3794	0.0463	-0.0267	0.0196	75.68	NA
E4	65	5	20	N	L0	41.36	NA	NA	0	41.36	100	0	6	0	0	100	6.89	NA	NA	8.627	25.0031	33.6301	0.0298	0.0228	0.0526	75.37	NA
E4	66	5	20	N	L1	28.24	NA	NA	0	28.24	100	0	5	0	0	83	5.65	NA	NA	6.3746	24.7749	31.1494	0.0215	-0.1714	-0.15	75.55	NA
E4	67	5	20	N	L2	28.26	NA	NA	0	28.26	100	0	4	0	0	67	7.07	NA	NA	11.5365	17.7578	29.2943	0.0377	-0.0039	0.0338	77.97	NA
E4	68	5	20	N	L3	20.51	NA	NA	0	20.51	100	0	2	0	0	33	10.26	NA	NA	2.8422	16.475	19.3172	0.0078	-0.2414	-0.2336	75.66	NA
E4	69	5	20	N	L4	NA	NA	NA	0	0	0	0	1	0	0	17	NA	NA	NA	10.2826	36.2386	46.5212	0.0337	-0.0636	-0.0299	79.29	NA
E4	81	6	20	N	L0	49.47	NA	NA	0	49.47	100	0	6	0	0	100	8.25	NA	NA	5.5843	51.4392	57.0235	0.018	0.1388	0.1568	69.38	NA
E4	82	6	20	N	L1	36.76	NA	NA	0	36.76	100	0	5	0	0	83	7.35	NA	NA	4.0772	41.4143	45.4916	0.0123	0.1074	0.1197	67.85	NA
E4	83	6	20	N	L2	18.99	NA	NA	0	18.99	100	0	4	0	0	67	4.75	NA	NA	10.832	52.118	62.95	0.0358	0.0888	0.1246	78.45	NA
E4	84	6	20	N	L3	8.05	NA	NA	0.16	8.21	98	2	2	0	0	33	4.03	NA	NA	4.6353	55.3013	59.9366	0.0149	-0.1994	-0.1845	79.37	NA
E4	85	6	20	N	L4	15.17	NA	NA	0	15.17	100	0	1	0	0	17	15.17	NA	NA	7.3747	47.083	54.4578	0.0215	0.0654	0.0869	78.26	NA
E4	97	7	22	N	L0	38.75	NA	NA	0	38.75	100	0	6	0	0	100	6.46	NA	NA	7.2174	68.0622	75.2796	NA	NA	NA	81.76	NA
E4	98	7	22	N	L1	36.81	NA	NA	0	36.81	100	0	5	0	0	83	7.36	NA	NA	8.7562	50.0524	58.8086	0.0251	0.0029	0.028	78.21	NA
E4	99	7	22	N	L2	33.43	NA	NA	0	33.43	100	0	4	0	0	67	8.36	NA	NA	32.8182	32.4397	65.2578	0.1057	-0.0354	0.0703	80.52	NA
E4	100	7	22	N	L3	24.05	NA	NA	0	24.05	100	0	2	0	0	33	12.03	NA	NA	5.8605	38.5258	44.3863	0.0141	0.0889	0.103	72.93	NA
E4	101	7	22	N	L4	15.05	NA	NA	0	15.05	100	0	1	0	0	17	15.05	NA	NA	4.659	55.7273	60.3863	0.0093	0.1443	0.1536	81.63	NA
E4	113	8	22	N	L0	41.66	NA	NA	0.14	41.8	100	0	6	0	0	100	6.94	NA	NA	5.8624	46.0081	51.8705	0.0122	0.1129	0.1251	81.34	NA
E4	114	8	22	N	L1	27.75	NA	NA	0	27.75	100	0	5	0	0	83	5.55	NA	NA	8.9126	39.5883	48.5009	0.0239	0.0793	0.1032	80.15	NA
E4	115	8	22	N	L2	35.08	NA	NA	0	35.08	100	0	4	0	0	67	8.77	NA	NA	16.1506	47.08	63.2306	0.0451	-0.0594	-0.0142	83.69	NA
E4	116	8	22	N	L3	20.72	NA	NA	0	20.72	100	0	2	0	0	33	10.36	NA	NA	10.3058	46.9393	57.2451	0.0222	-0.1179	-0.0956	81.99	NA
E4	117	8	22	N	L4	36.4	NA	NA	0	36.4	100	0	1	0	0	17	36.4	NA	NA	1.3472	34.6087	35.9559	-0.0028	0.0657	0.0628	80.14	NA
E4	129	9	27	N	L0	38.33	NA	NA	0	38.33	100	0	6	0	0	100	6.39	NA	NA	8.4484	73.2707	81.7191	0.0276	0.2332	0.2608	79.3	NA
E4	130	9	27	N	L1	40.17	NA	NA	0	40.17	100	0	5	0	0	83	8.03	NA	NA	8.6173	69.3645	77.9818	0.0299	0.1726	0.2024	79.15	NA
E4	131	9	27	N	L2	27.89	NA	NA	0	27.89	100	0	4	0	0	67	6.97	NA	NA	1.4652	28.6616	30.1268	-0.0344	0.024	-0.0104	79.79	NA
E4	132	9	27	N	L3	10.86	NA	NA	0	10.86	100	0	2	0	0	33	5.43	NA	NA	12.0903	42.9569	55.0472	0.0417	0.0408	0.0824	78.6	NA
E4	133	9	27	N	L4	23.33	NA	NA	0	23.33	100	0	1	0	0	17	23.33	NA	NA	5.1134	21.8357	26.9492	0.0171	0.046	0.0631	75.68	NA
E4	145	10	27	N	L0	36.48	NA	NA	0	36.48	100	0	6	0	0	100	6.08	NA	NA	0.8383	0.0174	0.8557	0.0023	-0.0572	-0.0548	77.22	NA
E4	146	10	27	N	L1	35.59	NA	NA	0	35.59	100	0	5	0	0	83	7.12	NA	NA	8.6812	14.3514	23.0326	0.0301	-0.0145	0.0156	79.2	NA
E4	147	10	27	N	L2	23.11	NA	NA	0	23.11	100	0	4	0	0	67	5.78	NA	NA	6.4563	18.5627	25.019	0.0215	0.0279	0.0494	78.39	NA
E4	148	10	27	N	L3	25.84	NA	NA	0.08	25.92	100	0	2	0	0	33	12.92	NA	NA	1.5825	15.044	16.6265	0.0043	0.0199	0.0241	78.82	NA
E4	149	10	27	N	L4	13.74	NA	NA	0	13.74	100	0	1	0	0	17	13.74	NA	NA	8.6091	20.4804	29.0895	0.0298	-0.005	0.0248	81.5	NA
