	Estimate	MCMCmean	HPD95lower	HPD95upper	pMCMC	Pr(>|t|)
soilmoi.(Intercept)	78.7042	78.6877	76.934	80.431	0.0001	0
soilmoi.mvtrt.L	-2.0998	-2.1061	-5.44	1.189	0.2178	0.2119
soilmoi.mvtrt.Q	-2.656	-2.6966	-6.648	1.484	0.1848	0.1978
soilmoi.mvtrt.C	-1.3203	-1.3403	-4.572	1.754	0.4074	0.4151
soilmoi.comptrtP	-0.1988	-0.1907	-2.541	2.085	0.8642	0.8682
soilmoi.comptrtS	-8.6424	-8.6304	-11.037	-6.238	0.0001	0
soilmoi.mvtrt.L:comptrtP	1.3708	1.3705	-3.223	5.96	0.5596	0.5541
soilmoi.mvtrt.Q:comptrtP	2.9172	2.9628	-2.343	8.831	0.295	0.3092
soilmoi.mvtrt.C:comptrtP	-0.5487	-0.5391	-5.076	3.933	0.808	0.8093
soilmoi.mvtrt.L:comptrtS	7.5055	7.536	3.111	12.189	0.0016	0.0016
soilmoi.mvtrt.Q:comptrtS	6.8302	6.8691	1.144	12.339	0.016	0.0193
soilmoi.mvtrt.C:comptrtS	1.0234	1.0237	-3.626	5.407	0.6504	0.6563
nodi.(Intercept)	32.3922	32.4559	26.664	38.359	0.0001	0
nodi.mvtrt.L	1.4101	1.2653	-5.639	7.756	0.7088	0.6589
nodi.mvtrt.Q	3.9238	3.9653	-4.076	11.87	0.342	0.3166
nodi.mvtrt.C	0.7287	0.6659	-5.446	7.523	0.8374	0.8126
nodi.comptrtP	-2.505	-2.5707	-7.457	2.084	0.2932	0.2724
nodi.comptrtS	-11.0344	-11.0746	-15.735	-6.178	0.0001	0
nodi.mvtrt.L:comptrtP	0.7961	0.9532	-8.121	10.114	0.8472	0.8565
nodi.mvtrt.Q:comptrtP	-2.7079	-2.7508	-14.263	8.387	0.6306	0.6188
nodi.mvtrt.C:comptrtP	-6.0344	-5.9283	-15.105	2.891	0.1934	0.1642
nodi.mvtrt.L:comptrtS	1.8341	1.9941	-7.49	11.165	0.6686	0.678
nodi.mvtrt.Q:comptrtS	-1.8604	-2.0177	-13.328	9.198	0.7206	0.7342
nodi.mvtrt.C:comptrtS	2.1695	2.211	-6.744	11.248	0.63	0.6198
nhno.(Intercept)	0.3215	0.321	0.2003	0.444	0.0001	0
nhno.mvtrt.L	0.0394	0.0399	-0.1135	0.1959	0.609	0.6043
nhno.mvtrt.Q	-0.0682	-0.0693	-0.2531	0.1243	0.4678	0.4643
nhno.mvtrt.C	-0.1257	-0.1245	-0.275	0.0167	0.0902	0.0882
nhno.comptrtP	0.0846	0.0852	-0.0258	0.1926	0.1252	0.1208
nhno.comptrtS	0.0479	0.0479	-0.069	0.155	0.3972	0.3838
nhno.mvtrt.L:comptrtP	-0.0621	-0.0626	-0.278	0.1467	0.554	0.5541
nhno.mvtrt.Q:comptrtP	0.1441	0.1446	-0.1195	0.4086	0.2762	0.2677
nhno.mvtrt.C:comptrtP	0.2265	0.2262	0.024	0.4383	0.0338	0.0295
nhno.mvtrt.L:comptrtS	0.1127	0.1122	-0.1029	0.3245	0.2984	0.2855
nhno.mvtrt.Q:comptrtS	0.1681	0.1707	-0.0939	0.4318	0.2	0.1993
nhno.mvtrt.C:comptrtS	0.0412	0.0402	-0.1737	0.2441	0.698	0.6928
nitrifd.(Intercept)	0.5088	0.505	-0.6752	1.6613	0.386	0.4128
nitrifd.mvtrt.L	-0.4258	-0.4231	-2.0338	1.0288	0.589	0.5773
nitrifd.mvtrt.Q	-1.3391	-1.3569	-3.2254	0.5461	0.1646	0.154
nitrifd.mvtrt.C	0.7241	0.7318	-0.8392	2.1109	0.3316	0.3258
nitrifd.comptrtP	1.1004	1.0942	0.0163	2.1962	0.0464	0.0453
nitrifd.comptrtS	0.0923	0.0968	-1.0282	1.1829	0.862	0.8669
nitrifd.mvtrt.L:comptrtP	0.2901	0.2866	-1.8081	2.5087	0.7846	0.783
nitrifd.mvtrt.Q:comptrtP	2.0468	2.0523	-0.7016	4.6256	0.1344	0.1178
nitrifd.mvtrt.C:comptrtP	-0.6782	-0.683	-2.7504	1.4654	0.5176	0.5119
nitrifd.mvtrt.L:comptrtS	1.4925	1.4955	-0.549	3.6171	0.1654	0.1595
nitrifd.mvtrt.Q:comptrtS	1.6112	1.6246	-1.079	4.2535	0.2274	0.2204
nitrifd.mvtrt.C:comptrtS	-1.0047	-1.015	-3.1413	1.1467	0.3484	0.3375
minzd.(Intercept)	-0.0871	-0.0968	-1.1467	1.0608	0.8578	0.8854
minzd.mvtrt.L	-0.4468	-0.4388	-1.9299	1.0329	0.5462	0.5421
minzd.mvtrt.Q	-1.0457	-1.056	-2.8697	0.8273	0.2444	0.245
minzd.mvtrt.C	0.9899	1.0142	-0.4636	2.4315	0.1674	0.1623
minzd.comptrtP	0.9467	0.9559	-0.15	1.9479	0.0818	0.072
minzd.comptrtS	0.1957	0.1968	-0.8505	1.2926	0.7114	0.7112
minzd.mvtrt.L:comptrtP	0.3972	0.4009	-1.6046	2.4268	0.6864	0.6943
minzd.mvtrt.Q:comptrtP	1.5259	1.5465	-1.0615	4.0341	0.23	0.223
minzd.mvtrt.C:comptrtP	-0.9951	-1.0188	-3.0069	1.0455	0.3212	0.3163
minzd.mvtrt.L:comptrtS	1.2857	1.2774	-0.7882	3.2665	0.2138	0.206
minzd.mvtrt.Q:comptrtS	1.2681	1.29	-1.3519	3.7815	0.3226	0.314
minzd.mvtrt.C:comptrtS	-1.1862	-1.2132	-3.166	0.8986	0.2424	0.2383
