expt	potid	bk	comptrt	densitytrt	mivi	pavi	sobi	weed	total	percmivi	percpavi	percsobi	percweed
E4	1	1	N	L0	25.35	NA	NA	0	25.35	100	0	0	0
E4	17	2	N	L0	26.07	NA	NA	0	26.07	100	0	0	0
E4	33	3	N	L0	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	49	4	N	L0	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	65	5	N	L0	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	81	6	N	L0	49.47	NA	NA	0	49.47	100	0	0	0
E4	97	7	N	L0	38.75	NA	NA	0	38.75	100	0	0	0
E4	113	8	N	L0	41.66	NA	NA	0.14	41.8	99.67	0	0	0.33
E4	129	9	N	L0	38.33	NA	NA	0	38.33	100	0	0	0
E4	145	10	N	L0	36.48	NA	NA	0	36.48	100	0	0	0
E4	2	1	N	L1	27.76	NA	NA	0	27.76	100	0	0	0
E4	18	2	N	L1	25.64	NA	NA	0	25.64	100	0	0	0
E4	34	3	N	L1	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	50	4	N	L1	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	66	5	N	L1	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	82	6	N	L1	36.76	NA	NA	0	36.76	100	0	0	0
E4	98	7	N	L1	36.81	NA	NA	0	36.81	100	0	0	0
E4	114	8	N	L1	27.75	NA	NA	0	27.75	100	0	0	0
E4	130	9	N	L1	40.17	NA	NA	0	40.17	100	0	0	0
E4	146	10	N	L1	35.59	NA	NA	0	35.59	100	0	0	0
E4	12	1	P	L1	21.16	4.5	NA	0	25.66	82.46	17.54	0	0
E4	28	2	P	L1	19.1	5.22	NA	0	24.32	78.54	21.46	0	0
E4	44	3	P	L1	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	60	4	P	L1	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	76	5	P	L1	7.91	27.46	NA	0	35.37	22.36	77.64	0	0
E4	92	6	P	L1	28.45	3.15	NA	0	31.6	90.03	9.97	0	0
E4	108	7	P	L1	25.25	3.57	NA	0	28.82	87.61	12.39	0	0
E4	124	8	P	L1	26.63	6.35	NA	0	32.98	80.75	19.25	0	0
E4	140	9	P	L1	29.85	3.48	NA	1.08	34.41	86.75	10.11	0	3.14
E4	156	10	P	L1	30.94	17.62	NA	0	48.56	63.71	36.29	0	0
E4	7	1	S	L1	6.77	NA	46.32	0	53.09	12.75	0	87.25	0
E4	23	2	S	L1	2.16	NA	44.96	0	47.12	4.58	0	95.42	0
E4	39	3	S	L1	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	55	4	S	L1	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	71	5	S	L1	4.29	NA	38.19	0	42.48	10.1	0	89.9	0
E4	87	6	S	L1	3.03	NA	75.16	0	78.19	3.88	0	96.12	0
E4	103	7	S	L1	4.73	NA	84.22	0	88.95	5.32	0	94.68	0
E4	119	8	S	L1	4.86	NA	81.29	0	86.15	5.64	0	94.36	0
E4	135	9	S	L1	7.88	NA	77.02	0	84.9	9.28	0	90.72	0
E4	151	10	S	L1	13.05	NA	63.14	0	76.19	17.13	0	82.87	0
E4	3	1	N	L2	34.81	NA	NA	0	34.81	100	0	0	0
E4	19	2	N	L2	30.35	NA	NA	0	30.35	100	0	0	0
E4	35	3	N	L2	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	51	4	N	L2	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	67	5	N	L2	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	83	6	N	L2	18.99	NA	NA	0	18.99	100	0	0	0
E4	99	7	N	L2	33.43	NA	NA	0	33.43	100	0	0	0
E4	115	8	N	L2	35.08	NA	NA	0	35.08	100	0	0	0
E4	131	9	N	L2	27.89	NA	NA	0	27.89	100	0	0	0
E4	147	10	N	L2	23.11	NA	NA	0	23.11	100	0	0	0
E4	13	1	P	L2	16.28	9.67	NA	0	25.95	62.74	37.26	0	0
E4	29	2	P	L2	14.35	8.11	NA	0	22.46	63.89	36.11	0	0
E4	45	3	P	L2	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	61	4	P	L2	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	77	5	P	L2	10.79	12.95	NA	0	23.74	45.45	54.55	0	0
E4	93	6	P	L2	19.12	12	NA	0	31.12	61.44	38.56	0	0
E4	109	7	P	L2	24.08	4.31	NA	0	28.39	84.82	15.18	0	0
E4	125	8	P	L2	19.95	16.4	NA	0	36.35	54.88	45.12	0	0
E4	141	9	P	L2	12.86	26.45	NA	0	39.31	32.71	67.29	0	0
E4	157	10	P	L2	17.88	17.24	NA	0	35.12	50.91	49.09	0	0
E4	8	1	S	L2	2.54	NA	51.27	0	53.81	4.72	0	95.28	0
E4	24	2	S	L2	1.33	NA	46.13	0	47.46	2.8	0	97.2	0
E4	40	3	S	L2	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	56	4	S	L2	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	72	5	S	L2	2.62	NA	55.65	0	58.27	4.5	0	95.5	0
E4	88	6	S	L2	2.86	NA	89.15	0	92.01	3.11	0	96.89	0
E4	104	7	S	L2	4.55	NA	60.7	0	65.25	6.97	0	93.03	0
E4	120	8	S	L2	4.09	NA	115.58	0	119.67	3.42	0	96.58	0
E4	136	9	S	L2	0.61	NA	103.63	0	104.24	0.59	0	99.41	0
E4	152	10	S	L2	1.52	NA	68.56	0	70.08	2.17	0	97.83	0
E4	4	1	N	L3	16.16	NA	NA	0	16.16	100	0	0	0
E4	20	2	N	L3	20.14	NA	NA	0	20.14	100	0	0	0
E4	36	3	N	L3	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	52	4	N	L3	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	68	5	N	L3	NA	NA	NA	NA	0	NA	NA	NA	NA
E4	84	6	N	L3	8.05	NA	NA	0.16	8.21	98.05	0	0	1.95
E4	100	7	N	L3	24.05	NA	NA	0	24.05	100	0	0	0
E4	116	8	N	L3	20.72	NA	NA	0	20.72	100	0	0	0
E4	132	9	N	L3	10.86	NA	NA	0	10.86	100	0	0	0
E4	148	10	N	L3	25.84	NA	NA	0.08	25.92	99.69	0	0	0.31
E4	14	1	P	L3	10.9	25.56	NA	0	36.46	29.9	70.1	0	0
E4	30	2	P	L3	12.41	18.75	NA	0	31.16	39.83	60.17	0	0
E4	46	3	P	L3	NA	NA	NA	NA	0	NA	NA	NA	NA
