"comptrt"	"mivi"	"total"	"percmivibiom"	"nhdi"	"nitrifd"
"12"	"P"	21.16	25.66	82	2.3465	2.6254
"13"	"P"	16.28	25.95	63	5.6768	0.546
"14"	"P"	10.9	36.46	30	6.0211	5.5646
"15"	"P"	3.32	20.79	16	12.0318	9.3692
"28"	"P"	19.1	24.32	79	13.2257	3.2075
"29"	"P"	14.35	22.46	64	4.3828	4.4915
"30"	"P"	12.41	31.16	40	14.7566	0.7614
"31"	"P"	7.39	40.54	18	6.8767	4.5276
"44"	"P"	33.74	37.72	89	21.0548	6.488
"45"	"P"	19.81	25.49	78	9.8183	3.8038
"46"	"P"	6.54	24.05	27	16.8035	5.9897
"47"	"P"	5.72	34.2	17	8.4943	0.6555
"60"	"P"	14.58	25.08	58	18.9962	1.5109
"61"	"P"	5.3	27.89	19	19.189	4.439
"62"	"P"	7.31	39.53	18	24.9986	2.8074
"63"	"P"	6.72	26.75	25	15.702	3.0624
"75"	"P"	7.91	35.37	22	11.3979	1.2451
"76"	"P"	10.79	23.74	45	12.5489	2.8473
"77"	"P"	8.13	28.18	29	7.03	-1.156
"78"	"P"	5.4	35.81	15	11.7033	1.7193
"91"	"P"	28.45	31.6	90	2.9659	-4.1105
"92"	"P"	19.12	31.12	61	4.42	-4.7902
"93"	"P"	15.19	36.32	42	7.9857	-2.8502
"94"	"P"	7.97	32.13	25	15.1785	-0.974
"107"	"P"	25.25	28.82	88	13.4556	2.6096
"108"	"P"	24.08	28.39	85	8.0173	0.2228
"109"	"P"	10.86	47.59	23	8.147	2.4369
"110"	"P"	4.47	31.81	14	22.0964	2.922
"123"	"P"	26.63	32.98	81	8.9663	0.8419
"124"	"P"	19.95	36.35	55	3.315	-1.5403
"125"	"P"	17.94	61.73	29	4.6685	-2.0508
"126"	"P"	0.32	35.61	1	5.8645	-0.3567
"139"	"P"	29.85	34.41	87	6.1156	-0.3665
"140"	"P"	12.86	39.31	33	7.7235	2.1264
"141"	"P"	4.2	41.44	10	5.7951	3.9021
"142"	"P"	9.98	34.96	29	9.2879	-0.0604
"155"	"P"	30.94	48.56	64	9.3698	5.1111
"156"	"P"	17.88	35.12	51	5.9931	1.3348
"157"	"P"	5.55	39.14	14	3.1221	-0.4842
"158"	"P"	8.8	35.06	25	11.1012	-0.2761
"7"	"S"	6.77	53.09	13	10.2075	5.2469
"8"	"S"	2.54	53.81	5	3.7272	1.1436
"9"	"S"	0.53	63.76	1	12.8452	-0.2979
"10"	"S"	1.01	69.26	1	3.7447	1.3598
"23"	"S"	2.16	47.12	5	11.0322	4.5898
"24"	"S"	1.33	47.46	3	24.9277	10.4434
"25"	"S"	0.51	78.61	1	3.7734	5.317
"26"	"S"	0.11	55.21	0	16.6771	4.8091
"39"	"S"	2.7	42.48	6	15.6248	5.9507
"40"	"S"	2.53	65.84	4	5.5585	0.3735
"41"	"S"	1.19	61.48	2	2.1873	1.369
"42"	"S"	0.35	78.41	0	4.7597	0.2668
"55"	"S"	3.44	57.84	6	11.4462	0.7336
"56"	"S"	5.36	67.39	8	17.6324	0.6126
"57"	"S"	0.45	99.96	0	11.2306	-1.2052
"58"	"S"	0.37	84.22	0	12.2071	0.3887
"70"	"S"	4.29	42.48	10	10.4368	1.9828
"71"	"S"	2.62	58.27	4	14.1916	1.5267
"72"	"S"	0.75	69.59	1	1.447	-0.4634
"73"	"S"	0.16	62.83	0	6.3161	-0.8567
"86"	"S"	3.03	78.19	4	5.9024	-2.5082
"87"	"S"	2.86	92.01	3	2.0076	-1.5745
"88"	"S"	0.67	81.18	1	5.9103	-0.5023
"89"	"S"	0.31	88.68	0	7.6089	-0.8573
"102"	"S"	4.73	88.95	5	4.4963	-1.8155
"103"	"S"	4.55	65.25	7	6.1026	-2.4818
"104"	"S"	0.57	122.65	0	12.8691	-1.5929
"105"	"S"	0.03	116.26	0	2.391	-1.8279
"118"	"S"	4.86	86.15	6	6.4325	-2.0466
"119"	"S"	4.09	119.67	3	1.2879	-1.5178
"120"	"S"	0.54	115.75	0	1.8074	-1.6886
"121"	"S"	0.33	107.86	0	1.3369	-1.3484
"134"	"S"	7.88	84.9	9	3.7386	0.3134
"135"	"S"	0.61	104.24	1	0.9956	1.2135
"136"	"S"	0.58	111.32	1	0.3758	0.2043
"137"	"S"	0.81	118.87	1	1.2827	-0.4482
"150"	"S"	13.05	76.19	17	3.7328	0.878
"151"	"S"	1.52	70.08	2	4.1496	0.7007
"152"	"S"	0.35	90.88	0	2.5906	-1.0036
"153"	"S"	2.24	77.82	3	2.2083	0.1206
