expt	potid	bk	comptrt	densitytrt	mivi	pavi	sobi	weed	total	percmivi	percpavi	percsobi	percweed	miviind	paviind	sobiind	mivipot	pavipot	sobipot	miviperind	paviperind	sobiperind	nhdi	nodi	totdi	percnodi	ammonifd	nitrifd	minzd	hdate	soilmoi	weedpres
E4	1	1	N	L0	25.35	0	0	0	25.35	100	0	0	0	6	0	0	100	0	0	4.23	NA	NA	3.9354	43.5426	47.478	91.7111	0.0114	-0.1504	-0.139	7/16/11	73.04	NW
E4	17	2	N	L0	26.07	0	0	0	26.07	100	0	0	0	6	0	0	100	0	0	4.35	NA	NA	4.3652	56.5225	60.8877	92.8308	0.0147	-0.237	-0.2224	7/16/11	79.23	NW
E4	33	3	N	L0	22.85	0	0	0	22.85	100	0	0	0	6	0	0	100	0	0	3.81	NA	NA	7.45	20.5596	28.0096	73.4021	0.024	-0.2567	-0.2327	7/18/11	77.03	NW
E4	49	4	N	L0	42.42	0	0	0	42.42	100	0	0	0	6	0	0	100	0	0	7.07	NA	NA	13.4369	20.5201	33.957	60.4296	0.0441	-0.2546	-0.2105	7/19/11	73.91	NW
E4	65	5	N	L0	41.36	0	0	0	41.36	100	0	0	0	6	0	0	100	0	0	6.89	NA	NA	8.627	25.0031	33.6301	74.3473	0.0298	0.0228	0.0526	7/20/11	75.37	NW
E4	81	6	N	L0	49.47	0	0	0	49.47	100	0	0	0	6	0	0	100	0	0	8.25	NA	NA	5.5843	51.4392	57.0235	90.207	0.018	0.1388	0.1568	7/20/11	69.38	NW
E4	97	7	N	L0	38.75	0	0	0	38.75	100	0	0	0	6	0	0	100	0	0	6.46	NA	NA	7.2174	68.0622	75.2796	90.4126	NA	NA	NA	7/22/11	81.76	NW
E4	113	8	N	L0	41.66	0	0	0.14	41.8	100	0	0	0	6	0	0	100	0	0	6.94	NA	NA	5.8624	46.0081	51.8705	88.698	0.0122	0.1129	0.1251	7/22/11	81.34	W
E4	129	9	N	L0	38.33	0	0	0	38.33	100	0	0	0	6	0	0	100	0	0	6.39	NA	NA	8.4484	73.2707	81.7191	89.6617	0.0276	0.2332	0.2608	7/27/11	79.3	NW
E4	145	10	N	L0	36.48	0	0	0	36.48	100	0	0	0	6	0	0	100	0	0	6.08	NA	NA	0.8383	0.0174	0.8557	2.0361	0.0023	-0.0572	-0.0548	7/27/11	77.22	NW
E4	2	1	N	L1	27.76	NA	NA	0	27.76	100	0	0	0	5	0	0	83	0	0	5.55	NA	NA	8.6514	30.2962	38.9476	77.7871	-0.0605	-0.1856	-0.2461	7/16/11	76.72	NW
E4	18	2	N	L1	25.64	NA	NA	0	25.64	100	0	0	0	5	0	0	83	0	0	5.13	NA	NA	3.2316	42.4984	45.73	92.9333	0.009	0.0655	0.0745	7/16/11	78.66	NW
E4	34	3	N	L1	14.75	NA	NA	0	14.75	100	0	0	0	5	0	0	83	0	0	2.95	NA	NA	12.2648	25.4556	37.7204	67.485	0.0408	0.0278	0.0686	7/18/11	77.4	W
E4	50	4	N	L1	35.79	NA	NA	0	35.79	100	0	0	0	5	0	0	83	0	0	7.16	NA	NA	6.847	18.3215	25.1686	72.7953	0.0214	0.0192	0.0406	7/19/11	62.5	NW
E4	66	5	N	L1	28.24	NA	NA	0	28.24	100	0	0	0	5	0	0	83	0	0	5.65	NA	NA	6.3746	24.7749	31.1494	79.5355	0.0215	-0.1714	-0.15	7/20/11	75.55	NW
E4	82	6	N	L1	36.76	NA	NA	0	36.76	100	0	0	0	5	0	0	83	0	0	7.35	NA	NA	4.0772	41.4143	45.4916	91.0374	0.0123	0.1074	0.1197	7/20/11	67.85	NW
E4	98	7	N	L1	36.81	NA	NA	0	36.81	100	0	0	0	5	0	0	83	0	0	7.36	NA	NA	8.7562	50.0524	58.8086	85.1106	0.0251	0.0029	0.028	7/22/11	78.21	NW
E4	114	8	N	L1	27.75	NA	NA	0	27.75	100	0	0	0	5	0	0	83	0	0	5.55	NA	NA	8.9126	39.5883	48.5009	81.6238	0.0239	0.0793	0.1032	7/22/11	80.15	NW
E4	130	9	N	L1	40.17	NA	NA	0	40.17	100	0	0	0	5	0	0	83	0	0	8.03	NA	NA	8.6173	69.3645	77.9818	88.9496	0.0299	0.1726	0.2024	7/27/11	79.15	W
E4	146	10	N	L1	35.59	NA	NA	0	35.59	100	0	0	0	5	0	0	83	0	0	7.12	NA	NA	8.6812	14.3514	23.0326	62.309	0.0301	-0.0145	0.0156	7/27/11	79.2	W
E4	3	1	N	L2	34.81	NA	NA	0	34.81	100	0	0	0	4	0	0	67	0	0	8.7	NA	NA	1.8875	32.9603	34.8478	94.5837	0.0065	-0.2038	-0.1973	7/16/11	76.39	NW
E4	19	2	N	L2	30.35	NA	NA	0	30.35	100	0	0	0	4	0	0	67	0	0	7.59	NA	NA	4.504	35.2932	39.7971	88.6827	0.0108	0.0303	0.0412	7/16/11	77.99	NW
E4	35	3	N	L2	25.1	NA	NA	0	25.1	100	0	0	0	4	0	0	67	0	0	6.28	NA	NA	16.4479	20.2064	36.6543	55.127	0.0564	-0.0051	0.0514	7/18/11	81.82	W
E4	51	4	N	L2	21.9	NA	NA	0	21.9	100	0	0	0	4	0	0	67	0	0	5.48	NA	NA	19.9434	28.2054	48.1488	58.5797	0.0685	0.0223	0.0908	7/19/11	80.84	NW
E4	67	5	N	L2	28.26	NA	NA	0	28.26	100	0	0	0	4	0	0	67	0	0	7.07	NA	NA	11.5365	17.7578	29.2943	60.6187	0.0377	-0.0039	0.0338	7/20/11	77.97	W
E4	83	6	N	L2	18.99	NA	NA	0	18.99	100	0	0	0	4	0	0	67	0	0	4.75	NA	NA	10.832	52.118	62.95	82.7927	0.0358	0.0888	0.1246	7/20/11	78.45	NW
E4	99	7	N	L2	33.43	NA	NA	0	33.43	100	0	0	0	4	0	0	67	0	0	8.36	NA	NA	32.8182	32.4397	65.2578	49.71	0.1057	-0.0354	0.0703	7/22/11	80.52	NW
E4	115	8	N	L2	35.08	NA	NA	0	35.08	100	0	0	0	4	0	0	67	0	0	8.77	NA	NA	16.1506	47.08	63.2306	74.4576	0.0451	-0.0594	-0.0142	7/22/11	83.69	NW
E4	131	9	N	L2	27.89	NA	NA	0	27.89	100	0	0	0	4	0	0	67	0	0	6.97	NA	NA	1.4652	28.6616	30.1268	95.1367	-0.0344	0.024	-0.0104	7/27/11	79.79	NW
E4	147	10	N	L2	23.11	NA	NA	0	23.11	100	0	0	0	4	0	0	67	0	0	5.78	NA	NA	6.4563	18.5627	25.019	74.1945	0.0215	0.0279	0.0494	7/27/11	78.39	W
E4	4	1	N	L3	16.16	NA	NA	0	16.16	100	0	0	0	2	0	0	33	0	0	8.08	NA	NA	9.8266	26.6491	36.4757	73.0599	0.034	-0.1662	-0.1322	7/16/11	80.75	NW
E4	20	2	N	L3	20.14	NA	NA	0	20.14	100	0	0	0	2	0	0	33	0	0	10.07	NA	NA	3.9949	34.0335	38.0285	89.4949	0.0131	0.0458	0.0589	7/16/11	81.68	NW
E4	36	3	N	L3	33.16	NA	NA	0	33.16	100	0	0	0	2	0	0	33	0	0	16.58	NA	NA	5.4169	19.7009	25.1177	78.4341	0.0185	-0.045	-0.0264	7/18/11	81.4	W
E4	52	4	N	L3	18.31	NA	NA	0	18.31	100	0	0	0	2	0	0	33	0	0	9.16	NA	NA	12.5974	17.9586	30.556	58.7728	0.0376	-0.0336	0.004	7/19/11	81.23	NW
E4	68	5	N	L3	20.51	NA	NA	0	20.51	100	0	0	0	2	0	0	33	0	0	10.26	NA	NA	2.8422	16.475	19.3172	85.2867	0.0078	-0.2414	-0.2336	7/20/11	75.66	NW
E4	84	6	N	L3	8.05	NA	NA	0.16	8.21	98	0	0	2	2	0	0	33	0	0	4.03	NA	NA	4.6353	55.3013	59.9366	92.2663	0.0149	-0.1994	-0.1845	7/20/11	79.37	W
E4	100	7	N	L3	24.05	NA	NA	0	24.05	100	0	0	0	2	0	0	33	0	0	12.03	NA	NA	5.8605	38.5258	44.3863	86.7966	0.0141	0.0889	0.103	7/22/11	72.93	NW
E4	116	8	N	L3	20.72	NA	NA	0	20.72	100	0	0	0	2	0	0	33	0	0	10.36	NA	NA	10.3058	46.9393	57.2451	81.997	0.0222	-0.1179	-0.0956	7/22/11	81.99	NW
E4	132	9	N	L3	10.86	NA	NA	0	10.86	100	0	0	0	2	0	0	33	0	0	5.43	NA	NA	12.0903	42.9569	55.0472	78.0365	0.0417	0.0408	0.0824	7/27/11	78.6	W
E4	148	10	N	L3	25.84	NA	NA	0.08	25.92	100	0	0	0	2	0	0	33	0	0	12.92	NA	NA	1.5825	15.044	16.6265	90.4821	0.0043	0.0199	0.0241	7/27/11	78.82	W
E4	5	1	N	L4	7.38	NA	NA	0	7.38	100	0	0	0	1	0	0	17	0	0	7.38	NA	NA	0.9203	58.1462	59.0666	98.4419	0.0015	-0.1575	-0.156	7/16/11	79.06	W
E4	21	2	N	L4	15.19	NA	NA	0	15.19	100	0	0	0	1	0	0	17	0	0	15.19	NA	NA	11.3721	27.8875	39.2597	71.0336	0.038	-0.0118	0.0262	7/16/11	80.29	NW
E4	37	3	N	L4	17.38	NA	NA	0	17.38	100	0	0	0	1	0	0	17	0	0	17.38	NA	NA	11.5385	19.6001	31.1386	62.9446	0.0289	-0.0024	0.0265	7/18/11	79.35	NW
E4	53	4	N	L4	13.51	NA	NA	0	13.51	100	0	0	0	1	0	0	17	0	0	13.51	NA	NA	13.5888	16.7907	30.3794	55.2699	0.0463	-0.0267	0.0196	7/19/11	75.68	W
E4	69	5	N	L4	NA	NA	NA	0	0	0	0	0	0	1	0	0	17	0	0	NA	NA	NA	10.2826	36.2386	46.5212	77.8969	0.0337	-0.0636	-0.0299	7/20/11	79.29	W
E4	85	6	N	L4	15.17	NA	NA	0	15.17	100	0	0	0	1	0	0	17	0	0	15.17	NA	NA	7.3747	47.083	54.4578	86.4579	0.0215	0.0654	0.0869	7/20/11	78.26	NW
E4	101	7	N	L4	15.05	NA	NA	0	15.05	100	0	0	0	1	0	0	17	0	0	15.05	NA	NA	4.659	55.7273	60.3863	92.2846	0.0093	0.1443	0.1536	7/22/11	81.63	W
E4	117	8	N	L4	36.4	NA	NA	0	36.4	100	0	0	0	1	0	0	17	0	0	36.4	NA	NA	1.3472	34.6087	35.9559	96.2533	-0.0028	0.0657	0.0628	7/22/11	80.14	NW
E4	133	9	N	L4	23.33	NA	NA	0	23.33	100	0	0	0	1	0	0	17	0	0	23.33	NA	NA	5.1134	21.8357	26.9492	81.0256	0.0171	0.046	0.0631	7/27/11	75.68	W
