comptrt	mivi	total	percmivibiom	nhdi	nodi	totdi	ammonifd	nitrifd	minzd	soilmoi
P	21.16	25.66	82	2.35	49.43	51.7765	-0.1214	2.6254	2.504	78.8
P	19.1	24.32	79	13.23	36.88	50.107	-1.0533	3.2075	2.1542	80
P	33.74	37.72	89	21.05	20.56	41.6187	-1.735	6.488	4.753	78.8
P	14.58	25.08	58	19	22.99	41.9892	-1.556	1.5109	-0.045	76.54
P	7.91	35.37	22	11.4	31.11	42.5036	-0.8631	1.2451	0.382	75.35
P	28.45	31.6	90	2.97	54.29	57.2602	-0.1633	-4.1105	-4.2738	73.99
P	25.25	28.82	88	13.46	18.72	32.1778	-0.9083	2.6096	1.7013	75.77
P	26.63	32.98	81	8.97	37.14	46.1049	-0.7299	0.8419	0.112	79.78
P	29.85	34.41	87	6.12	16.76	22.8793	-0.4513	-0.3665	-0.8178	80
P	30.94	48.56	64	9.37	14.65	24.0233	-0.7481	5.1111	4.3631	76.9
P	16.28	25.95	63	5.68	34.01	39.687	-0.4188	0.546	0.1271	76.92
P	14.35	22.46	64	4.38	48.81	53.1888	-0.3083	4.4915	4.1832	81.3
P	19.81	25.49	78	9.82	16.5	26.3175	-0.7998	3.8038	3.0041	78.07
P	5.3	27.89	19	19.19	24.4	43.5883	-1.5619	4.439	2.8771	79.8
P	10.79	23.74	45	12.55	27.07	39.6224	-0.9861	2.8473	1.8612	76.95
P	19.12	31.12	61	4.42	66.46	70.8799	-0.3143	-4.7902	-5.1045	80.62
P	24.08	28.39	85	8.02	51.91	59.9269	-0.5183	0.2228	-0.2955	80.32
P	19.95	36.35	55	3.32	28.23	31.549	-0.2514	-1.5403	-1.7917	80.07
P	12.86	39.31	33	7.72	19.13	26.8578	-0.642	2.1264	1.4844	80.29
P	17.88	35.12	51	5.99	19.63	25.6222	-0.4919	1.3348	0.8429	79.53
P	10.9	36.46	30	6.02	15.24	21.264	-0.3869	5.5646	5.1778	69.29
P	12.41	31.16	40	14.76	26.44	41.1955	-1.0581	0.7614	-0.2968	78.01
P	6.54	24.05	27	16.8	19.46	36.262	-1.3692	5.9897	4.6205	81.91
P	7.31	39.53	18	25	22.62	47.6217	-2.06	2.8074	0.7473	81.21
P	8.13	28.18	29	7.03	22.24	29.2718	-0.5421	-1.156	-1.698	75.11
P	15.19	36.32	42	7.99	38.69	46.6804	-0.5694	-2.8502	-3.4196	72.53
P	10.86	47.59	23	8.15	53.87	62.0173	-0.5122	2.4369	1.9246	81.34
P	17.94	61.73	29	4.67	34.57	39.2378	-0.3724	-2.0508	-2.4232	78.87
P	4.2	41.44	10	5.8	10.11	15.9052	-0.4732	3.9021	3.4289	79.4
P	5.55	39.14	14	3.12	11.84	14.9623	-0.1401	-0.4842	-0.6243	77.17
P	3.32	20.79	16	12.03	46.51	58.5464	-0.9352	9.3692	8.434	80.32
P	7.39	40.54	18	6.88	12.33	19.2018	-0.4771	4.5276	4.0505	74.24
P	5.72	34.2	17	8.49	19.95	28.441	-0.6907	0.6555	-0.0352	76.21
P	6.72	26.75	25	15.7	27.57	43.2714	-1.2933	3.0624	1.7691	80.79
P	5.4	35.81	15	11.7	25.18	36.8809	-0.8865	1.7193	0.8328	79.86
P	7.97	32.13	25	15.18	59	74.1821	-1.2162	-0.974	-2.1902	81.07
P	4.47	31.81	14	22.1	41.25	63.3443	-1.6254	2.922	1.2966	79.55
P	0.32	35.61	1	5.86	37.35	43.2162	-0.42	-0.3567	-0.7767	83.04
P	9.98	34.96	29	9.29	21.5	30.789	-0.7079	-0.0604	-0.7684	81.55
P	8.8	35.06	25	11.1	17.56	28.6595	-0.8438	-0.2761	-1.1199	80.34
S	6.77	53.09	13	10.21	15.21	25.4127	-0.7996	5.2469	4.4473	74.47
S	2.16	47.12	5	11.03	17.85	28.8796	-0.8864	4.5898	3.7034	78.2
S	2.7	42.48	6	15.62	11.73	27.3584	-1.2868	5.9507	4.6639	81.82
S	3.44	57.84	6	11.45	12.3	23.7507	-0.9404	0.7336	-0.2068	72.07
S	4.29	42.48	10	10.44	19.69	30.1252	-0.8471	1.9828	1.1357	77.41
S	3.03	78.19	4	5.9	60.01	65.9149	-0.3893	-2.5082	-2.8975	80.15
S	4.73	88.95	5	4.5	48.21	52.7068	-0.2229	-1.8155	-2.0384	76.95
S	4.86	86.15	6	6.43	36.01	42.4398	-0.3976	-2.0466	-2.4441	70.48
S	7.88	84.9	9	3.74	20.22	23.9547	-0.2858	0.3134	0.0276	65.26
S	13.05	76.19	17	3.73	13.06	16.7967	-0.3094	0.878	0.5685	79.37
S	2.54	53.81	5	3.73	15.06	18.7883	-0.2352	1.1436	0.9084	74.47
S	1.33	47.46	3	24.93	19.5	44.4301	-2.0136	10.4434	8.4298	77.99
S	2.53	65.84	4	5.56	13.74	19.2967	-0.4569	0.3735	-0.0834	78.07
S	5.36	67.39	8	17.63	23.56	41.193	-1.2247	0.6126	-0.6121	75.21
S	2.62	58.27	4	14.19	17.47	31.6596	-1.1385	1.5267	0.3882	73.98
S	2.86	92.01	3	2.01	25.49	27.5018	-0.118	-1.5745	-1.6925	52.26
S	4.55	65.25	7	6.1	48.7	54.7989	-0.2911	-2.4818	-2.7728	77.14
S	4.09	119.67	3	1.29	25.36	26.6485	-0.0226	-1.5178	-1.5404	64.63
S	0.61	104.24	1	1	4.03	5.0287	-0.0782	1.2135	1.1353	63.84
S	1.52	70.08	2	4.15	0.02	4.1659	-0.3444	0.7007	0.3564	75.43
S	0.53	63.76	1	12.85	23.81	36.6528	-1.0242	-0.2979	-1.3221	72.31
S	0.51	78.61	1	3.77	20.91	24.6874	-0.2301	5.317	5.0869	77.78
S	1.19	61.48	2	2.19	10.34	12.5292	-0.0742	1.369	1.2948	58.41
S	0.45	99.96	0	11.23	24.01	35.2401	-0.8083	-1.2052	-2.0135	64.94
S	0.75	69.59	1	1.45	13.18	14.6277	0.0062	-0.4634	-0.4572	54.96
S	0.67	81.18	1	5.91	48.05	53.9629	-0.3162	-0.5023	-0.8185	74.81
S	0.57	122.65	0	12.87	29.92	42.7872	-0.9185	-1.5929	-2.5114	64.32
S	0.54	115.75	0	1.81	28.55	30.3578	0.0079	-1.6886	-1.6807	64.65
S	0.58	111.32	1	0.38	5.2	5.5773	0.0279	0.2043	0.2322	65.45
S	0.35	90.88	0	2.59	12.16	14.7477	-0.2093	-1.0036	-1.2129	72.86
S	1.01	69.26	1	3.74	10.33	14.075	-0.2794	1.3598	1.0805	70.09
S	0.11	55.21	0	16.68	16.27	32.9464	-1.366	4.8091	3.4432	78.82
S	0.35	78.41	0	4.76	15.14	19.8963	-0.3132	0.2668	-0.0464	71.24
S	0.37	84.22	0	12.21	16.85	29.0621	-0.9696	0.3887	-0.5808	73
S	0.16	62.83	0	6.32	18.22	24.5379	-0.3789	-0.8567	-1.2356	74.82
S	0.31	88.68	0	7.61	49.95	57.5626	-0.5043	-0.8573	-1.3616	76.98
S	0.03	116.26	0	2.39	30.37	32.7633	-0.0452	-1.8279	-1.8732	59.26
S	0.33	107.86	0	1.34	23.18	24.5144	-0.0123	-1.3484	-1.3606	52.42
S	0.81	118.87	1	1.28	5.84	7.1257	-0.044	-0.4482	-0.4921	64.49
S	2.24	77.82	3	2.21	8.76	10.9725	-0.104	0.1206	0.0167	68.56
