mivi	percmivibiom	nitrifd
21.16	82	2.6254
19.1	79	3.2075
33.74	89	6.488
14.58	58	1.5109
7.91	22	1.2451
28.45	90	-4.1105
25.25	88	2.6096
26.63	81	0.8419
29.85	87	-0.3665
30.94	64	5.1111
16.28	63	0.546
14.35	64	4.4915
19.81	78	3.8038
5.3	19	4.439
10.79	45	2.8473
19.12	61	-4.7902
24.08	85	0.2228
19.95	55	-1.5403
12.86	33	2.1264
17.88	51	1.3348
10.9	30	5.5646
12.41	40	0.7614
6.54	27	5.9897
7.31	18	2.8074
8.13	29	-1.156
15.19	42	-2.8502
10.86	23	2.4369
17.94	29	-2.0508
4.2	10	3.9021
5.55	14	-0.4842
3.32	16	9.3692
7.39	18	4.5276
5.72	17	0.6555
6.72	25	3.0624
5.4	15	1.7193
7.97	25	-0.974
4.47	14	2.922
0.32	1	-0.3567
9.98	29	-0.0604
8.8	25	-0.2761
