expt	potid	bk	julydate	comptrt	densitytrt	mivi	pavi	sobi	weed	total	percmivibiom	percweed	miviind	paviind	sobiind	percmiviind	miviperind	paviperind	sobiperind	nhdi	nodi	totdi	ammonifd	nitrifd	minzd	soilmoi	notes
E4	2	1	16	N	L1	27.76	NA	NA	0	27.76	100	0	5	0	0	83	5.55	NA	NA	8.6514	30.2962	38.9476	-0.0605	-0.1856	-0.2461	76.72	NA
E4	3	1	16	N	L2	34.81	NA	NA	0	34.81	100	0	4	0	0	67	8.7	NA	NA	1.8875	32.9603	34.8478	0.0065	-0.2038	-0.1973	76.39	NA
E4	4	1	16	N	L3	16.16	NA	NA	0	16.16	100	0	2	0	0	33	8.08	NA	NA	9.8266	26.6491	36.4757	0.034	-0.1662	-0.1322	80.75	NA
E4	5	1	16	N	L4	7.38	NA	NA	0	7.38	100	0	1	0	0	17	7.38	NA	NA	0.9203	58.1462	59.0666	0.0015	-0.1575	-0.156	79.06	NA
E4	7	1	16	S	L1	6.77	NA	46.32	0	53.09	13	0	5	0	1	83	1.35	NA	46.32	10.2075	15.2052	25.4127	0.0333	-0.2186	-0.1853	74.47	NA
E4	8	1	16	S	L2	2.54	NA	51.27	0	53.81	5	0	4	0	2	67	0.64	NA	25.64	3.7272	15.061	18.7883	0.0098	-0.0477	-0.0379	74.47	NA
E4	9	1	16	S	L3	0.53	NA	63.23	0	63.76	1	0	2	0	4	33	0.27	NA	15.81	12.8452	23.8076	36.6528	0.0427	0.0124	0.0551	72.31	NA
E4	10	1	16	S	L4	1.01	NA	68.25	0	69.26	1	0	1	0	5	17	1.01	NA	13.65	3.7447	10.3303	14.075	0.0116	-0.0567	-0.045	70.09	NA
E4	12	1	16	P	L1	21.16	4.5	NA	0	25.66	82	0	5	1	0	83	4.23	4.5	NA	2.3465	49.43	51.7765	0.0051	-0.1094	-0.1043	78.8	NA
E4	13	1	16	P	L2	16.28	9.67	NA	0	25.95	63	0	4	2	0	67	4.07	4.84	NA	5.6768	34.0102	39.687	0.0175	-0.0227	-0.0053	76.92	NA
E4	14	1	16	P	L3	10.9	25.56	NA	0	36.46	30	0	2	4	0	33	5.45	6.39	NA	6.0211	15.243	21.264	0.0161	-0.2319	-0.2157	69.29	NA
E4	15	1	16	P	L4	3.32	17.47	NA	0	20.79	16	0	1	5	0	17	3.32	3.49	NA	12.0318	46.5145	58.5464	0.039	-0.3904	-0.3514	80.32	NA
E4	18	2	16	N	L1	25.64	NA	NA	0	25.64	100	0	5	0	0	83	5.13	NA	NA	3.2316	42.4984	45.73	0.009	0.0655	0.0745	78.66	NA
