potid	bk	comptrt	densitytrt	densitytrt2	monotrt	mivi	total	percmivibiom	nhdi	nodi	totdi	percnodi	ammonifd	nitrifd	minzd	soilmoi
6	1	N	L5	0	Empty	0.00	0.00	0	2.02	113.01	115.0354	0.9824	-0.1403	8.6452	8.5049	83.06
22	2	N	L5	0	Empty	0.00	0.00	0	10.01	74.61	84.6280	0.8817	-0.7731	2.9896	2.2165	82.61
38	3	N	L5	0	Empty	0.00	0.00	0	19.09	85.14	104.2343	0.8168	-1.5731	-5.6387	-7.2119	80.31
54	4	N	L5	0	Empty	0.00	0.00	0	22.80	43.46	66.2597	0.6558	-1.8790	2.7151	0.8361	80.26
70	5	N	L5	0	Empty	0.00	0.00	0	5.47	89.48	94.9532	0.9423	-0.4404	2.1788	1.7384	80.97
86	6	N	L5	0	Empty	0.00	0.00	0	4.47	93.01	97.4780	0.9542	-0.2827	-3.9140	-4.1967	81.61
102	7	N	L5	0	Empty	0.00	0.00	0	14.47	87.11	101.5789	0.8575	-0.9615	-4.4636	-5.4250	83.27
118	8	N	L5	0	Empty	0.00	0.00	0	18.83	63.97	82.7926	0.7726	-1.3402	-3.5565	-4.8966	83.39
134	9	N	L5	0	Empty	0.00	0.00	0	9.43	80.08	89.5191	0.8946	-0.7843	-1.8819	-2.6662	80.80
150	10	N	L5	0	Empty	0.00	0.00	0	10.21	85.67	95.8793	0.8936	-0.7706	0.5277	-0.2429	82.54
1	1	N	L0	100	Mv	25.35	25.35	100	3.94	43.54	47.4780	0.9171	-0.2734	3.6092	3.3358	73.04
17	2	N	L0	100	Mv	26.07	26.07	100	4.37	56.52	60.8877	0.9283	-0.3516	5.6890	5.3374	79.23
33	3	N	L0	100	Mv	22.85	22.85	100	7.45	20.56	28.0096	0.7340	-0.5754	6.1599	5.5845	77.03
49	4	N	L0	100	Mv	42.42	42.42	100	13.44	20.52	33.9570	0.6043	-1.0580	6.1095	5.0515	73.91
65	5	N	L0	100	Mv	41.36	41.36	100	8.63	25.00	33.6301	0.7435	-0.7151	-0.5473	-1.2623	75.37
81	6	N	L0	100	Mv	49.47	49.47	100	5.58	51.44	57.0235	0.9021	-0.4329	-3.3305	-3.7634	69.38
97	7	N	L0	100	Mv	38.75	38.75	100	7.22	68.06	75.2796	0.9041	6.8163	1.3858	8.2021	81.76
113	8	N	L0	100	Mv	41.66	41.80	100	5.86	46.01	51.8705	0.8870	-0.2939	-2.7087	-3.0025	81.34
129	9	N	L0	100	Mv	38.33	38.33	100	8.45	73.27	81.7191	0.8966	-0.6623	-5.5971	-6.2594	79.30
2	1	N	L1	83	MvEmpty	27.76	27.76	100	8.65	30.30	38.9476	0.7779	1.4520	4.4545	5.9066	76.72
18	2	N	L1	83	MvEmpty	25.64	25.64	100	3.23	42.50	45.7300	0.9293	-0.2166	-1.5711	-1.7878	78.66
34	3	N	L1	83	MvEmpty	14.75	14.75	100	12.26	25.46	37.7204	0.6749	-0.9793	-0.6662	-1.6455	77.40
50	4	N	L1	83	MvEmpty	35.79	35.79	100	6.85	18.32	25.1686	0.7280	-0.5139	-0.4597	-0.9736	62.50
66	5	N	L1	83	MvEmpty	28.24	28.24	100	6.37	24.77	31.1494	0.7954	-0.5157	4.1148	3.5991	75.55
82	6	N	L1	83	MvEmpty	36.76	36.76	100	4.08	41.41	45.4916	0.9104	-0.2961	-2.5775	-2.8736	67.85
98	7	N	L1	83	MvEmpty	36.81	36.81	100	8.76	50.05	58.8086	0.8511	-0.6024	-0.0701	-0.6725	78.21
114	8	N	L1	83	MvEmpty	27.75	27.75	100	8.91	39.59	48.5009	0.8162	-0.5727	-1.9033	-2.4760	80.15
130	9	N	L1	83	MvEmpty	40.17	40.17	100	8.62	69.36	77.9818	0.8895	-0.7166	-4.1416	-4.8581	79.15
146	10	N	L1	83	MvEmpty	35.59	35.59	100	8.68	14.35	23.0326	0.6231	-0.7218	0.3476	-0.3742	79.20
3	1	N	L2	67	MvEmpty	34.81	34.81	100	1.89	32.96	34.8478	0.9458	-0.1559	4.8917	4.7358	76.39
19	2	N	L2	67	MvEmpty	30.35	30.35	100	4.50	35.29	39.7971	0.8868	-0.2601	-0.7278	-0.9879	77.99
35	3	N	L2	67	MvEmpty	25.10	25.10	100	16.45	20.21	36.6543	0.5513	-1.3548	0.1213	-1.2334	81.82
51	4	N	L2	67	MvEmpty	21.90	21.90	100	19.94	28.21	48.1488	0.5858	-1.6431	-0.5361	-2.1793	80.84
67	5	N	L2	67	MvEmpty	28.26	28.26	100	11.54	17.76	29.2943	0.6062	-0.9039	0.0928	-0.8111	77.97
83	6	N	L2	67	MvEmpty	18.99	18.99	100	10.83	52.12	62.9500	0.8279	-0.8584	-2.1314	-2.9898	78.45
