expt	potid	bk	julydate	comptrt	densitytrt	mivi	pavi	sobi	weed	total	percmivibiom	percweed	miviind	paviind	sobiind	percmiviind	miviperind	paviperind	sobiperind	nhdi	nodi	totdi	percnodi	ammonifd	nitrifd	minzd	soilmoi	notes
E4	1	1	16	N	L0	25.35	NA	NA	0	25.35	100	0	6	0	0	100	4.23	NA	NA	3.9354	43.5426	47.478	0.9171	-0.2734	3.6092	3.3358	73.04	NA
E4	17	2	16	N	L0	26.07	NA	NA	0	26.07	100	0	6	0	0	100	4.35	NA	NA	4.3652	56.5225	60.8877	0.9283	-0.3516	5.689	5.3374	79.23	NA
E4	33	3	18	N	L0	22.85	NA	NA	0	22.85	100	0	6	0	0	100	3.81	NA	NA	7.45	20.5596	28.0096	0.734	-0.5754	6.1599	5.5845	77.03	NA
E4	49	4	19	N	L0	42.42	NA	NA	0	42.42	100	0	6	0	0	100	7.07	NA	NA	13.4369	20.5201	33.957	0.6043	-1.058	6.1095	5.0515	73.91	NA
E4	65	5	20	N	L0	41.36	NA	NA	0	41.36	100	0	6	0	0	100	6.89	NA	NA	8.627	25.0031	33.6301	0.7435	-0.7151	-0.5473	-1.2623	75.37	NA
E4	81	6	20	N	L0	49.47	NA	NA	0	49.47	100	0	6	0	0	100	8.25	NA	NA	5.5843	51.4392	57.0235	0.9021	-0.4329	-3.3305	-3.7634	69.38	NA
E4	97	7	22	N	L0	38.75	NA	NA	0	38.75	100	0	6	0	0	100	6.46	NA	NA	7.2174	68.0622	75.2796	0.9041	6.8163	1.3858	8.2021	81.76	NA
E4	113	8	22	N	L0	41.66	NA	NA	0.14	41.8	100	0	6	0	0	100	6.94	NA	NA	5.8624	46.0081	51.8705	0.887	-0.2939	-2.7087	-3.0025	81.34	NA
E4	129	9	27	N	L0	38.33	NA	NA	0	38.33	100	0	6	0	0	100	6.39	NA	NA	8.4484	73.2707	81.7191	0.8966	-0.6623	-5.5971	-6.2594	79.3	NA
E4	145	10	27	N	L0	36.48	NA	NA	0	36.48	100	0	6	0	0	100	6.08	NA	NA	0.8383	0.0174	0.8557	0.0204	-0.0563	1.3718	1.3155	77.22	NA
E4	7	1	16	S	L1	6.77	NA	46.32	0	53.09	13	0	5	0	1	83	1.35	NA	46.32	10.2075	15.2052	25.4127	0.5983	-0.7996	5.2469	4.4473	74.47	NA
E4	23	2	16	S	L1	2.16	NA	44.96	0	47.12	5	0	5	0	1	83	0.43	NA	44.96	11.0322	17.8474	28.8796	0.618	-0.8864	4.5898	3.7034	78.2	NA
E4	39	3	18	S	L1	2.7	NA	39.47	0.31	42.48	6	1	5	0	1	83	0.54	NA	39.47	15.6248	11.7336	27.3584	0.4289	-1.2868	5.9507	4.6639	81.82	NA
