"resp"	"term"	"delAIC"	"Chisq"	"ChisqDF"	"pval"
"Ammonium (ugN/G)"	"term 1"	"0.750547079980151"	"1.24945292001985"	"1"	"0.263656992315284"
"Ammonium (ugN/G)"	"term 2"	"-3.69521882415688"	"7.69521882415688"	"2"	"0.0213306683736594"
"Ammonium (ugN/G)"	"term 3"	"0.751532695883611"	"3.24846730411639"	"2"	"0.197062635898025"
"Total Inorganic N (ugN/G)"	"term 1"	"-0.810947425526365"	"2.81094742552636"	"1"	"0.0936230688832217"
"Total Inorganic N (ugN/G)"	"term 2"	"-26.0814234697542"	"30.0814234697542"	"2"	"2.93698609000365e-07"
"Total Inorganic N (ugN/G)"	"term 3"	"2.94135357765288"	"1.05864642234712"	"2"	"0.589003465778663"
"Ammonification (ugN/G*d)"	"term 1"	"1.66068508264195"	"0.339314917358053"	"1"	"0.560224931749506"
"Ammonification (ugN/G*d)"	"term 2"	"-3.70596266678552"	"7.70596266678552"	"2"	"0.0212163889264918"
"Ammonification (ugN/G*d)"	"term 3"	"1.67146929743851"	"2.32853070256149"	"2"	"0.312151899811125"
"Mineralization (ugN/G*d)"	"term 1"	"1.96070941932214"	"0.0392905806778572"	"1"	"0.842874100059147"
"Mineralization (ugN/G*d)"	"term 2"	"-1.62110683461265"	"5.62110683461265"	"2"	"0.0601716831254691"
"Mineralization (ugN/G*d)"	"term 3"	"1.87673446881729"	"2.12326553118271"	"2"	"0.345890590765123"
