bk	type	comptrt	Mvtrt	Mvabund	pavi	sobi	MVrelabund	nhdi	nodi	nh:no	totdi	ammonifd	nitrifd	minzd	soilmoi
1	CompEmpty	N	5	27.76	0.00	0.00	100	8.6514	30.2962	0.2856	38.9476	1.4520	4.4545	5.9066	76.72
1	CompEmpty	N	4	34.81	0.00	0.00	100	1.8875	32.9603	0.0573	34.8478	-0.1559	4.8917	4.7358	76.39
1	CompEmpty	N	2	16.16	0.00	0.00	100	9.8266	26.6491	0.3687	36.4757	-0.8171	3.9887	3.1716	80.75
1	CompEmpty	N	1	7.38	0.00	0.00	100	0.9203	58.1462	0.0158	59.0666	-0.0364	3.7805	3.7441	79.06
2	CompEmpty	N	5	25.64	0.00	0.00	100	3.2316	42.4984	0.0760	45.7300	-0.2166	-1.5711	-1.7878	78.66
2	CompEmpty	N	4	30.35	0.00	0.00	100	4.5040	35.2932	0.1276	39.7971	-0.2601	-0.7278	-0.9879	77.99
2	CompEmpty	N	2	20.14	0.00	0.00	100	3.9949	34.0335	0.1174	38.0285	-0.3138	-1.0995	-1.4133	81.68
2	CompEmpty	N	1	15.19	0.00	0.00	100	11.3721	27.8875	0.4078	39.2597	-0.9114	0.2831	-0.6283	80.29
3	CompEmpty	N	5	14.75	0.00	0.00	100	12.2648	25.4556	0.4818	37.7204	-0.9793	-0.6662	-1.6455	77.40
3	CompEmpty	N	4	25.10	0.00	0.00	100	16.4479	20.2064	0.8140	36.6543	-1.3548	0.1213	-1.2334	81.82
3	CompEmpty	N	2	33.16	0.00	0.00	100	5.4169	19.7009	0.2750	25.1177	-0.4450	1.0790	0.6341	81.40
4	CompEmpty	N	5	35.79	0.00	0.00	100	6.8470	18.3215	0.3737	25.1686	-0.5139	-0.4597	-0.9736	62.50
4	CompEmpty	N	4	21.90	0.00	0.00	100	19.9434	28.2054	0.7071	48.1488	-1.6431	-0.5361	-2.1793	80.84
4	CompEmpty	N	2	18.31	0.00	0.00	100	12.5974	17.9586	0.7015	30.5560	-0.9015	0.8057	-0.0958	81.23
4	CompEmpty	N	1	13.51	0.00	0.00	100	13.5888	16.7907	0.8093	30.3794	-1.1108	0.6410	-0.4699	75.68
5	CompEmpty	N	5	28.24	0.00	0.00	100	6.3746	24.7749	0.2573	31.1494	-0.5157	4.1148	3.5991	75.55
5	CompEmpty	N	4	28.26	0.00	0.00	100	11.5365	17.7578	0.6497	29.2943	-0.9039	0.0928	-0.8111	77.97
5	CompEmpty	N	2	20.51	0.00	0.00	100	2.8422	16.4750	0.1725	19.3172	-0.1861	5.7929	5.6068	75.66
6	CompEmpty	N	5	36.76	0.00	0.00	100	4.0772	41.4143	0.0985	45.4916	-0.2961	-2.5775	-2.8736	67.85
6	CompEmpty	N	4	18.99	0.00	0.00	100	10.8320	52.1180	0.2078	62.9500	-0.8584	-2.1314	-2.9898	78.45
6	CompEmpty	N	2	8.05	0.00	0.00	98	4.6353	55.3013	0.0838	59.9366	-0.3575	4.7862	4.4287	79.37
6	CompEmpty	N	1	15.17	0.00	0.00	100	7.3747	47.0830	0.1566	54.4578	-0.5160	-1.5702	-2.0862	78.26
7	CompEmpty	N	5	36.81	0.00	0.00	100	8.7562	50.0524	0.1749	58.8086	-0.6024	-0.0701	-0.6725	78.21
7	CompEmpty	N	4	33.43	0.00	0.00	100	32.8182	32.4397	1.0117	65.2578	-2.5372	0.8503	-1.6869	80.52
7	CompEmpty	N	2	24.05	0.00	0.00	100	5.8605	38.5258	0.1521	44.3863	-0.3376	-2.1334	-2.4711	72.93
7	CompEmpty	N	1	15.05	0.00	0.00	100	4.6590	55.7273	0.0836	60.3863	-0.2237	-3.4627	-3.6864	81.63
8	CompEmpty	N	5	27.75	0.00	0.00	100	8.9126	39.5883	0.2251	48.5009	-0.5727	-1.9033	-2.4760	80.15
8	CompEmpty	N	4	35.08	0.00	0.00	100	16.1506	47.0800	0.3430	63.2306	-1.0834	1.4246	0.3412	83.69
8	CompEmpty	N	2	20.72	0.00	0.00	100	10.3058	46.9393	0.2196	57.2451	-0.5338	2.8292	2.2954	81.99
8	CompEmpty	N	1	36.40	0.00	0.00	100	1.3472	34.6087	0.0389	35.9559	0.0682	-1.5758	-1.5076	80.14
9	CompEmpty	N	5	40.17	0.00	0.00	100	8.6173	69.3645	0.1242	77.9818	-0.7166	-4.1416	-4.8581	79.15
9	CompEmpty	N	4	27.89	0.00	0.00	100	1.4652	28.6616	0.0511	30.1268	0.8220	-0.5754	0.2465	79.79
9	CompEmpty	N	2	10.86	0.00	0.00	100	12.0903	42.9569	0.2815	55.0472	-1.0005	-0.9783	-1.9787	78.60
9	CompEmpty	N	1	23.33	0.00	0.00	100	5.1134	21.8357	0.2342	26.9492	-0.4110	-1.1035	-1.5145	75.68
10	CompEmpty	N	5	35.59	0.00	0.00	100	8.6812	14.3514	0.6049	23.0326	-0.7218	0.3476	-0.3742	79.20
10	CompEmpty	N	4	23.11	0.00	0.00	100	6.4563	18.5627	0.3478	25.0190	-0.5158	-0.6690	-1.1848	78.39
10	CompEmpty	N	2	25.84	0.00	0.00	100	1.5825	15.0440	0.1052	16.6265	-0.1026	-0.4770	-0.5796	78.82
10	CompEmpty	N	1	13.74	0.00	0.00	100	8.6091	20.4804	0.4204	29.0895	-0.7157	0.1211	-0.5946	81.50
1	CompPavi	P	5	21.16	4.50	0.00	82	2.3465	49.4300	0.0475	51.7765	-0.1214	2.6254	2.5040	78.80
1	CompPavi	P	4	16.28	9.67	0.00	63	5.6768	34.0102	0.1669	39.6870	-0.4188	0.5460	0.1271	76.92
1	CompPavi	P	2	10.90	25.56	0.00	30	6.0211	15.2430	0.3950	21.2640	-0.3869	5.5646	5.1778	69.29
1	CompPavi	P	1	3.32	17.47	0.00	16	12.0318	46.5145	0.2587	58.5464	-0.9352	9.3692	8.4340	80.32
2	CompPavi	P	5	19.10	5.22	0.00	79	13.2257	36.8813	0.3586	50.1070	-1.0533	3.2075	2.1542	80.00
2	CompPavi	P	4	14.35	8.11	0.00	64	4.3828	48.8061	0.0898	53.1888	-0.3083	4.4915	4.1832	81.30
2	CompPavi	P	2	12.41	18.75	0.00	40	14.7566	26.4389	0.5581	41.1955	-1.0581	0.7614	-0.2968	78.01
2	CompPavi	P	1	7.39	33.15	0.00	18	6.8767	12.3251	0.5579	19.2018	-0.4771	4.5276	4.0505	74.24
3	CompPavi	P	5	33.74	3.88	0.00	89	21.0548	20.5639	1.0239	41.6187	-1.7350	6.4880	4.7530	78.80
3	CompPavi	P	4	19.81	5.68	0.00	78	9.8183	16.4992	0.5951	26.3175	-0.7998	3.8038	3.0041	78.07
3	CompPavi	P	2	6.54	17.51	0.00	27	16.8035	19.4585	0.8636	36.2620	-1.3692	5.9897	4.6205	81.91
3	CompPavi	P	1	5.72	28.48	0.00	17	8.4943	19.9467	0.4259	28.4410	-0.6907	0.6555	-0.0352	76.21
4	CompPavi	P	5	14.58	10.50	0.00	58	18.9962	22.9930	0.8262	41.9892	-1.5560	1.5109	-0.0450	76.54
4	CompPavi	P	4	5.30	22.59	0.00	19	19.1890	24.3993	0.7865	43.5883	-1.5619	4.4390	2.8771	79.80
4	CompPavi	P	2	7.31	32.22	0.00	18	24.9986	22.6231	1.1050	47.6217	-2.0600	2.8074	0.7473	81.21
4	CompPavi	P	1	6.72	20.03	0.00	25	15.7020	27.5694	0.5695	43.2714	-1.2933	3.0624	1.7691	80.79
5	CompPavi	P	5	7.91	27.46	0.00	22	11.3979	31.1058	0.3664	42.5036	-0.8631	1.2451	0.3820	75.35
5	CompPavi	P	4	10.79	12.95	0.00	45	12.5489	27.0735	0.4635	39.6224	-0.9861	2.8473	1.8612	76.95
5	CompPavi	P	2	8.13	20.05	0.00	29	7.0300	22.2418	0.3161	29.2718	-0.5421	-1.1560	-1.6980	75.11
5	CompPavi	P	1	5.40	30.41	0.00	15	11.7033	25.1776	0.4648	36.8809	-0.8865	1.7193	0.8328	79.86
6	CompPavi	P	5	28.45	3.15	0.00	90	2.9659	54.2943	0.0546	57.2602	-0.1633	-4.1105	-4.2738	73.99
6	CompPavi	P	4	19.12	12.00	0.00	61	4.4200	66.4599	0.0665	70.8799	-0.3143	-4.7902	-5.1045	80.62
6	CompPavi	P	2	15.19	21.13	0.00	42	7.9857	38.6947	0.2064	46.6804	-0.5694	-2.8502	-3.4196	72.53
6	CompPavi	P	1	7.97	24.16	0.00	25	15.1785	59.0035	0.2572	74.1821	-1.2162	-0.9740	-2.1902	81.07
7	CompPavi	P	5	25.25	3.57	0.00	88	13.4556	18.7222	0.7187	32.1778	-0.9083	2.6096	1.7013	75.77
7	CompPavi	P	4	24.08	4.31	0.00	85	8.0173	51.9096	0.1544	59.9269	-0.5183	0.2228	-0.2955	80.32
7	CompPavi	P	2	10.86	36.66	0.00	23	8.1470	53.8702	0.1512	62.0173	-0.5122	2.4369	1.9246	81.34
7	CompPavi	P	1	4.47	26.93	0.00	14	22.0964	41.2479	0.5357	63.3443	-1.6254	2.9220	1.2966	79.55
8	CompPavi	P	5	26.63	6.35	0.00	81	8.9663	37.1386	0.2414	46.1049	-0.7299	0.8419	0.1120	79.78
8	CompPavi	P	4	19.95	16.40	0.00	55	3.3150	28.2340	0.1174	31.5490	-0.2514	-1.5403	-1.7917	80.07
8	CompPavi	P	2	17.94	43.37	0.00	29	4.6685	34.5693	0.1350	39.2378	-0.3724	-2.0508	-2.4232	78.87
8	CompPavi	P	1	0.32	35.29	0.00	1	5.8645	37.3518	0.1570	43.2162	-0.4200	-0.3567	-0.7767	83.04
9	CompPavi	P	5	29.85	3.48	0.00	87	6.1156	16.7637	0.3648	22.8793	-0.4513	-0.3665	-0.8178	80.00
9	CompPavi	P	4	12.86	26.45	0.00	33	7.7235	19.1342	0.4037	26.8578	-0.6420	2.1264	1.4844	80.29
9	CompPavi	P	2	4.20	37.24	0.00	10	5.7951	10.1101	0.5732	15.9052	-0.4732	3.9021	3.4289	79.40
9	CompPavi	P	1	9.98	24.98	0.00	29	9.2879	21.5010	0.4320	30.7890	-0.7079	-0.0604	-0.7684	81.55
10	CompPavi	P	5	30.94	17.62	0.00	64	9.3698	14.6534	0.6394	24.0233	-0.7481	5.1111	4.3631	76.90
10	CompPavi	P	4	17.88	17.24	0.00	51	5.9931	19.6291	0.3053	25.6222	-0.4919	1.3348	0.8429	79.53
10	CompPavi	P	2	5.55	33.59	0.00	14	3.1221	11.8402	0.2637	14.9623	-0.1401	-0.4842	-0.6243	77.17
10	CompPavi	P	1	8.80	25.81	0.00	25	11.1012	17.5583	0.6322	28.6595	-0.8438	-0.2761	-1.1199	80.34
1	CompSobi	S	5	6.77	0.00	46.32	13	10.2075	15.2052	0.6713	25.4127	-0.7996	5.2469	4.4473	74.47
1	CompSobi	S	4	2.54	0.00	51.27	5	3.7272	15.0610	0.2475	18.7883	-0.2352	1.1436	0.9084	74.47
1	CompSobi	S	2	0.53	0.00	63.23	1	12.8452	23.8076	0.5395	36.6528	-1.0242	-0.2979	-1.3221	72.31
1	CompSobi	S	1	1.01	0.00	68.25	1	3.7447	10.3303	0.3625	14.0750	-0.2794	1.3598	1.0805	70.09
2	CompSobi	S	5	2.16	0.00	44.96	5	11.0322	17.8474	0.6181	28.8796	-0.8864	4.5898	3.7034	78.20
2	CompSobi	S	4	1.33	0.00	46.13	3	24.9277	19.5023	1.2782	44.4301	-2.0136	10.4434	8.4298	77.99
2	CompSobi	S	2	0.51	0.00	78.10	1	3.7734	20.9139	0.1804	24.6874	-0.2301	5.3170	5.0869	77.78
2	CompSobi	S	1	0.11	0.00	55.10	0	16.6771	16.2694	1.0251	32.9464	-1.3660	4.8091	3.4432	78.82
3	CompSobi	S	5	2.70	0.00	39.47	6	15.6248	11.7336	1.3316	27.3584	-1.2868	5.9507	4.6639	81.82
3	CompSobi	S	4	2.53	0.00	63.31	4	5.5585	13.7382	0.4046	19.2967	-0.4569	0.3735	-0.0834	78.07
3	CompSobi	S	2	1.19	0.00	60.04	2	2.1873	10.3418	0.2115	12.5292	-0.0742	1.3690	1.2948	58.41
3	CompSobi	S	1	0.35	0.00	78.06	0	4.7597	15.1366	0.3145	19.8963	-0.3132	0.2668	-0.0464	71.24
4	CompSobi	S	5	3.44	0.00	54.40	6	11.4462	12.3045	0.9302	23.7507	-0.9404	0.7336	-0.2068	72.07
4	CompSobi	S	4	5.36	0.00	62.03	8	17.6324	23.5606	0.7484	41.1930	-1.2247	0.6126	-0.6121	75.21
4	CompSobi	S	2	0.45	0.00	99.51	0	11.2306	24.0096	0.4678	35.2401	-0.8083	-1.2052	-2.0135	64.94
4	CompSobi	S	1	0.37	0.00	83.85	0	12.2071	16.8550	0.7242	29.0621	-0.9696	0.3887	-0.5808	73.00
5	CompSobi	S	5	4.29	0.00	38.19	10	10.4368	19.6884	0.5301	30.1252	-0.8471	1.9828	1.1357	77.41
5	CompSobi	S	4	2.62	0.00	55.65	4	14.1916	17.4680	0.8124	31.6596	-1.1385	1.5267	0.3882	73.98
5	CompSobi	S	2	0.75	0.00	68.79	1	1.4470	13.1807	0.1098	14.6277	0.0062	-0.4634	-0.4572	54.96
5	CompSobi	S	1	0.16	0.00	62.67	0	6.3161	18.2218	0.3466	24.5379	-0.3789	-0.8567	-1.2356	74.82
6	CompSobi	S	5	3.03	0.00	75.16	4	5.9024	60.0126	0.0984	65.9149	-0.3893	-2.5082	-2.8975	80.15
6	CompSobi	S	4	2.86	0.00	89.15	3	2.0076	25.4942	0.0787	27.5018	-0.1180	-1.5745	-1.6925	52.26
6	CompSobi	S	2	0.67	0.00	80.51	1	5.9103	48.0526	0.1230	53.9629	-0.3162	-0.5023	-0.8185	74.81
6	CompSobi	S	1	0.31	0.00	88.37	0	7.6089	49.9537	0.1523	57.5626	-0.5043	-0.8573	-1.3616	76.98
7	CompSobi	S	5	4.73	0.00	84.22	5	4.4963	48.2105	0.0933	52.7068	-0.2229	-1.8155	-2.0384	76.95
7	CompSobi	S	4	4.55	0.00	60.70	7	6.1026	48.6963	0.1253	54.7989	-0.2911	-2.4818	-2.7728	77.14
7	CompSobi	S	2	0.57	0.00	122.08	0	12.8691	29.9182	0.4301	42.7872	-0.9185	-1.5929	-2.5114	64.32
7	CompSobi	S	1	0.03	0.00	116.23	0	2.3910	30.3723	0.0787	32.7633	-0.0452	-1.8279	-1.8732	59.26
