mivi	sobi	total	percmivibiom	nhdi	nodi	totdi	ammonifd	nitrifd	minzd
13.05	63.14	76.19	17	3.73	13.06	16.7967	-0.3094	0.8780	0.5685
7.88	77.02	84.90	9	3.74	20.22	23.9547	-0.2858	0.3134	0.0276
6.77	46.32	53.09	13	10.21	15.21	25.4127	-0.7996	5.2469	4.4473
5.36	62.03	67.39	8	17.63	23.56	41.1930	-1.2247	0.6126	-0.6121
4.86	81.29	86.15	6	6.43	36.01	42.4398	-0.3976	-2.0466	-2.4441
4.73	84.22	88.95	5	4.50	48.21	52.7068	-0.2229	-1.8155	-2.0384
4.55	60.70	65.25	7	6.10	48.70	54.7989	-0.2911	-2.4818	-2.7728
4.29	38.19	42.48	10	10.44	19.69	30.1252	-0.8471	1.9828	1.1357
4.09	115.58	119.67	3	1.29	25.36	26.6485	-0.0226	-1.5178	-1.5404
3.44	54.40	57.84	6	11.45	12.30	23.7507	-0.9404	0.7336	-0.2068
3.03	75.16	78.19	4	5.90	60.01	65.9149	-0.3893	-2.5082	-2.8975
2.86	89.15	92.01	3	2.01	25.49	27.5018	-0.1180	-1.5745	-1.6925
2.70	39.47	42.48	6	15.62	11.73	27.3584	-1.2868	5.9507	4.6639
2.62	55.65	58.27	4	14.19	17.47	31.6596	-1.1385	1.5267	0.3882
2.54	51.27	53.81	5	3.73	15.06	18.7883	-0.2352	1.1436	0.9084
2.53	63.31	65.84	4	5.56	13.74	19.2967	-0.4569	0.3735	-0.0834											
2.24	75.58	77.82	3	2.21	8.76	10.9725	-0.1040	0.1206	0.0167											
2.16	44.96	47.12	5	11.03	17.85	28.8796	-0.8864	4.5898	3.7034											
1.52	68.56	70.08	2	4.15	0.02	4.1659	-0.3444	0.7007	0.3564											
1.33	46.13	47.46	3	24.93	19.50	44.4301	-2.0136	10.4434	8.4298											
1.19	60.04	61.48	2	2.19	10.34	12.5292	-0.0742	1.3690	1.2948											
1.01	68.25	69.26	1	3.74	10.33	14.0750	-0.2794	1.3598	1.0805											
0.81	118.06	118.87	1	1.28	5.84	7.1257	-0.0440	-0.4482	-0.4921											
0.75	68.79	69.59	1	1.45	13.18	14.6277	0.0062	-0.4634	-0.4572											
0.67	80.51	81.18	1	5.91	48.05	53.9629	-0.3162	-0.5023	-0.8185											
0.61	103.63	104.24	1	1.00	4.03	5.0287	-0.0782	1.2135	1.1353											
0.58	110.74	111.32	1	0.38	5.20	5.5773	0.0279	0.2043	0.2322											
0.57	122.08	122.65	0	12.87	29.92	42.7872	-0.9185	-1.5929	-2.5114											
0.54	115.21	115.75	0	1.81	28.55	30.3578	0.0079	-1.6886	-1.6807											
0.53	63.23	63.76	1	12.85	23.81	36.6528	-1.0242	-0.2979	-1.3221											
0.51	78.10	78.61	1	3.77	20.91	24.6874	-0.2301	5.3170	5.0869											
0.45	99.51	99.96	0	11.23	24.01	35.2401	-0.8083	-1.2052	-2.0135
0.37	83.85	84.22	0	12.21	16.85	29.0621	-0.9696	0.3887	-0.5808
0.35	78.06	78.41	0	4.76	15.14	19.8963	-0.3132	0.2668	-0.0464
0.35	90.53	90.88	0	2.59	12.16	14.7477	-0.2093	-1.0036	-1.2129
0.33	107.53	107.86	0	1.34	23.18	24.5144	-0.0123	-1.3484	-1.3606
0.31	88.37	88.68	0	7.61	49.95	57.5626	-0.5043	-0.8573	-1.3616
0.16	62.67	62.83	0	6.32	18.22	24.5379	-0.3789	-0.8567	-1.2356
0.11	55.10	55.21	0	16.68	16.27	32.9464	-1.3660	4.8091	3.4432
0.03	116.23	116.26	0	2.39	30.37	32.7633	-0.0452	-1.8279	-1.8732
