expt	potid	bk	julydate	type	comptrt	densitytrt	mivi	pavi	sobi	weed	total	percmivibiom	nhdi	nodi	totdi	percnodi	ammonifd	nitrifd	minzd	soilmoi
E4	1	1	16	Mivi	N	L0	25.35	NA	NA	0	25.35	100	3.9354	43.5426	47.478	0.9171	-0.2734	3.6092	3.3358	73.04
E4	2	1	16	CompEmpty	N	L1	27.76	NA	NA	0	27.76	100	8.6514	30.2962	38.9476	0.7779	1.452	4.4545	5.9066	76.72
E4	3	1	16	CompEmpty	N	L2	34.81	NA	NA	0	34.81	100	1.8875	32.9603	34.8478	0.9458	-0.1559	4.8917	4.7358	76.39
E4	4	1	16	CompEmpty	N	L3	16.16	NA	NA	0	16.16	100	9.8266	26.6491	36.4757	0.7306	-0.8171	3.9887	3.1716	80.75
E4	5	1	16	CompEmpty	N	L4	7.38	NA	NA	0	7.38	100	0.9203	58.1462	59.0666	0.9844	-0.0364	3.7805	3.7441	79.06
E4	6	1	16	Empty	N	L5	0	NA	NA	0	0	0	2.0212	113.0142	115.0354	0.9824	-0.1403	8.6452	8.5049	83.06
E4	7	1	16	CompSobi	S	L1	6.77	NA	46.32	0	53.09	13	10.2075	15.2052	25.4127	0.5983	-0.7996	5.2469	4.4473	74.47
E4	8	1	16	CompSobi	S	L2	2.54	NA	51.27	0	53.81	5	3.7272	15.061	18.7883	0.8016	-0.2352	1.1436	0.9084	74.47
E4	9	1	16	CompSobi	S	L3	0.53	NA	63.23	0	63.76	1	12.8452	23.8076	36.6528	0.6495	-1.0242	-0.2979	-1.3221	72.31
E4	10	1	16	CompSobi	S	L4	1.01	NA	68.25	0	69.26	1	3.7447	10.3303	14.075	0.7339	-0.2794	1.3598	1.0805	70.09
E4	11	1	16	Sobi	S	L5	0	NA	52.06	0	52.06	0	2.7665	15.3332	18.0997	0.8472	-0.1936	-0.0173	-0.211	69.14
E4	12	1	16	CompPavi	P	L1	21.16	4.5	NA	0	25.66	82	2.3465	49.43	51.7765	0.9547	-0.1214	2.6254	2.504	78.8
E4	13	1	16	CompPavi	P	L2	16.28	9.67	NA	0	25.95	63	5.6768	34.0102	39.687	0.857	-0.4188	0.546	0.1271	76.92
E4	14	1	16	CompPavi	P	L3	10.9	25.56	NA	0	36.46	30	6.0211	15.243	21.264	0.7168	-0.3869	5.5646	5.1778	69.29
E4	15	1	16	CompPavi	P	L4	3.32	17.47	NA	0	20.79	16	12.0318	46.5145	58.5464	0.7945	-0.9352	9.3692	8.434	80.32
E4	16	1	16	Pavi	P	L5	0	21.88	NA	0	21.88	0	2.968	41.7658	44.7338	0.9337	-0.2336	7.1621	6.9285	80.52
E4	17	2	16	Mivi	N	L0	26.07	NA	NA	0	26.07	100	4.3652	56.5225	60.8877	0.9283	-0.3516	5.689	5.3374	79.23
E4	18	2	16	CompEmpty	N	L1	25.64	NA	NA	0	25.64	100	3.2316	42.4984	45.73	0.9293	-0.2166	-1.5711	-1.7878	78.66
E4	19	2	16	CompEmpty	N	L2	30.35	NA	NA	0	30.35	100	4.504	35.2932	39.7971	0.8868	-0.2601	-0.7278	-0.9879	77.99
E4	20	2	16	CompEmpty	N	L3	20.14	NA	NA	0	20.14	100	3.9949	34.0335	38.0285	0.8949	-0.3138	-1.0995	-1.4133	81.68
E4	21	2	16	CompEmpty	N	L4	15.19	NA	NA	0	15.19	100	11.3721	27.8875	39.2597	0.7103	-0.9114	0.2831	-0.6283	80.29
E4	22	2	16	Empty	N	L5	0	NA	NA	0	0	0	10.0149	74.6131	84.628	0.8817	-0.7731	2.9896	2.2165	82.61
E4	23	2	16	CompSobi	S	L1	2.16	NA	44.96	0	47.12	5	11.0322	17.8474	28.8796	0.618	-0.8864	4.5898	3.7034	78.2
E4	24	2	16	CompSobi	S	L2	1.33	NA	46.13	0	47.46	3	24.9277	19.5023	44.4301	0.4389	-2.0136	10.4434	8.4298	77.99
E4	25	2	16	CompSobi	S	L3	0.51	NA	78.1	0	78.61	1	3.7734	20.9139	24.6874	0.8472	-0.2301	5.317	5.0869	77.78
E4	26	2	16	CompSobi	S	L4	0.11	NA	55.1	0	55.21	0	16.6771	16.2694	32.9464	0.4938	-1.366	4.8091	3.4432	78.82
E4	27	2	16	Sobi	S	L5	0	NA	59.08	0	59.08	0	3.4664	10.457	13.9234	0.751	-0.2093	0.226	0.0167	75.09
E4	28	2	16	CompPavi	P	L1	19.1	5.22	NA	0	24.32	79	13.2257	36.8813	50.107	0.7361	-1.0533	3.2075	2.1542	80
E4	29	2	16	CompPavi	P	L2	14.35	8.11	NA	0	22.46	64	4.3828	48.8061	53.1888	0.9176	-0.3083	4.4915	4.1832	81.3
E4	30	2	16	CompPavi	P	L3	12.41	18.75	NA	0	31.16	40	14.7566	26.4389	41.1955	0.6418	-1.0581	0.7614	-0.2968	78.01
E4	31	2	16	CompPavi	P	L4	7.39	33.15	NA	0	40.54	18	6.8767	12.3251	19.2018	0.6419	-0.4771	4.5276	4.0505	74.24
E4	32	2	16	Pavi	P	L5	0	27.6	NA	1.26	28.86	0	9.8184	16.4026	26.221	0.6256	-0.7774	2.7201	1.9427	80.49
E4	33	3	18	Mivi	N	L0	22.85	NA	NA	0	22.85	100	7.45	20.5596	28.0096	0.734	-0.5754	6.1599	5.5845	77.03
E4	34	3	18	CompEmpty	N	L1	14.75	NA	NA	0	14.75	100	12.2648	25.4556	37.7204	0.6749	-0.9793	-0.6662	-1.6455	77.4
E4	35	3	18	CompEmpty	N	L2	25.1	NA	NA	0	25.1	100	16.4479	20.2064	36.6543	0.5513	-1.3548	0.1213	-1.2334	81.82
E4	36	3	18	CompEmpty	N	L3	33.16	NA	NA	0	33.16	100	5.4169	19.7009	25.1177	0.7843	-0.445	1.079	0.6341	81.4
E4	37	3	18	CompEmpty	N	L4	17.38	NA	NA	0	17.38	100	11.5385	19.6001	31.1386	0.6294	-0.6935	0.0585	-0.635	79.35
E4	38	3	18	Empty	N	L5	0	NA	NA	0	0	0	19.0947	85.1396	104.2343	0.8168	-1.5731	-5.6387	-7.2119	80.31
