"total"	"soilmoi"	"nodi"	"nitrifd"	"plant"	"bk"
0	83.06	113.0142	8.6452	1	"1"
0	82.61	74.6131	2.9896	1	"2"
0	80.31	85.1396	-5.6387	1	"3"
0	80.26	43.4561	2.7151	1	"4"
0	80.97	89.4789	2.1788	1	"5"
0	81.61	93.0122	-3.914	1	"6"
0	83.27	87.1059	-4.4636	1	"7"
0	83.39	63.9665	-3.5565	1	"8"
0	80.8	80.085	-1.8819	1	"9"
0	82.54	85.6741	0.5277	1	"10"
21.88	80.52	41.7658	7.1621	3	"1"
27.6	80.49	16.4026	2.7201	3	"2"
33.37	67.41	16.704	0.1347	3	"3"
35.34	78.03	20.3312	0.5559	3	"4"
27.46	79.35	21.9282	-0.4134	3	"5"
31.41	76.47	44.7701	-2.8225	3	"6"
26.87	81.03	41.9796	-0.6535	3	"7"
34.35	80.34	34.3721	-1.9862	3	"8"
46.19	78.79	43.9048	-1.648	3	"9"
48.47	81.94	6.2845	0.3895	3	"10"
52.06	69.14	15.3332	-0.0173	4	"1"
59.08	75.09	10.457	0.226	4	"2"
60.18	78.04	16.3722	0.7185	4	"3"
95.6	71.26	15.4191	0.9403	4	"4"
77.54	49.34	11.7642	0.1997	4	"5"
74.65	66.54	35.5094	-2.454	4	"6"
114.61	65.31	33.1456	-1.8852	4	"7"
115.83	56.98	21.043	-0.4334	4	"8"
107.89	54.75	4.169	0.2499	4	"9"
81.01	78.47	11.6982	2.8571	4	"10"
25.35	73.04	43.5426	3.6092	2	"1"
26.07	79.23	56.5225	5.689	2	"2"
22.85	77.03	20.5596	6.1599	2	"3"
42.42	73.91	20.5201	6.1095	2	"4"
41.36	75.37	25.0031	-0.5473	2	"5"
49.47	69.38	51.4392	-3.3305	2	"6"
38.75	81.76	68.0622	1.3858	2	"7"
41.66	81.34	46.0081	-2.7087	2	"8"
38.33	79.3	73.2707	-5.5971	2	"9"
