mivi	total	percmivibiom	nhdi	nitrifd
6.77	53.09	13	10.21	5.2469
2.16	47.12	5	11.03	4.5898
2.7	42.48	6	15.62	5.9507
3.44	57.84	6	11.45	0.7336
4.29	42.48	10	10.44	1.9828
3.03	78.19	4	5.9	-2.5082
4.73	88.95	5	4.5	-1.8155
4.86	86.15	6	6.43	-2.0466
7.88	84.9	9	3.74	0.3134
13.05	76.19	17	3.73	0.878
2.54	53.81	5	3.73	1.1436
1.33	47.46	3	24.93	10.4434
2.53	65.84	4	5.56	0.3735
5.36	67.39	8	17.63	0.6126
2.62	58.27	4	14.19	1.5267
2.86	92.01	3	2.01	-1.5745
4.55	65.25	7	6.1	-2.4818
4.09	119.67	3	1.29	-1.5178
0.61	104.24	1	1	1.2135
1.52	70.08	2	4.15	0.7007
0.53	63.76	1	12.85	-0.2979
0.51	78.61	1	3.77	5.317
1.19	61.48	2	2.19	1.369
0.45	99.96	0	11.23	-1.2052
0.75	69.59	1	1.45	-0.4634
0.67	81.18	1	5.91	-0.5023
0.57	122.65	0	12.87	-1.5929
0.54	115.75	0	1.81	-1.6886
0.58	111.32	1	0.38	0.2043
0.35	90.88	0	2.59	-1.0036
1.01	69.26	1	3.74	1.3598
0.11	55.21	0	16.68	4.8091
0.35	78.41	0	4.76	0.2668
0.37	84.22	0	12.21	0.3887
0.16	62.83	0	6.32	-0.8567
0.31	88.68	0	7.61	-0.8573
0.03	116.26	0	2.39	-1.8279
0.33	107.86	0	1.34	-1.3484
0.81	118.87	1	1.28	-0.4482
2.24	77.82	3	2.21	0.1206
