expt	potid	bk	julydate	comptrt	densitytrt	mivi	pavi	sobi	weed	total	percmivibiom	percweed	miviind	paviind	sobiind	percmiviind	miviperind	paviperind	sobiperind	nhdi	nodi	totdi	percnodi	ammonifd	nitrifd	minzd	soilmoi	notes
E4	1	1	16	N	L0	25.35	NA	NA	0	25.35	100	0	6	0	0	100	4.23	NA	NA	3.9354	43.5426	47.478	0.9171	-0.2734	3.6092	3.3358	73.04	NA
E4	2	1	16	N	L1	27.76	NA	NA	0	27.76	100	0	5	0	0	83	5.55	NA	NA	8.6514	30.2962	38.9476	0.7779	1.452	4.4545	5.9066	76.72	NA
E4	3	1	16	N	L2	34.81	NA	NA	0	34.81	100	0	4	0	0	67	8.7	NA	NA	1.8875	32.9603	34.8478	0.9458	-0.1559	4.8917	4.7358	76.39	NA
E4	4	1	16	N	L3	16.16	NA	NA	0	16.16	100	0	2	0	0	33	8.08	NA	NA	9.8266	26.6491	36.4757	0.7306	-0.8171	3.9887	3.1716	80.75	NA
E4	5	1	16	N	L4	7.38	NA	NA	0	7.38	100	0	1	0	0	17	7.38	NA	NA	0.9203	58.1462	59.0666	0.9844	-0.0364	3.7805	3.7441	79.06	NA
E4	6	1	16	N	L5	0	NA	NA	0	0	0	0	0	0	0	0	NA	NA	NA	2.0212	113.0142	115.0354	0.9824	-0.1403	8.6452	8.5049	83.06	NA
E4	17	2	16	N	L0	26.07	NA	NA	0	26.07	100	0	6	0	0	100	4.35	NA	NA	4.3652	56.5225	60.8877	0.9283	-0.3516	5.689	5.3374	79.23	NA
E4	18	2	16	N	L1	25.64	NA	NA	0	25.64	100	0	5	0	0	83	5.13	NA	NA	3.2316	42.4984	45.73	0.9293	-0.2166	-1.5711	-1.7878	78.66	NA
E4	19	2	16	N	L2	30.35	NA	NA	0	30.35	100	0	4	0	0	67	7.59	NA	NA	4.504	35.2932	39.7971	0.8868	-0.2601	-0.7278	-0.9879	77.99	NA
E4	20	2	16	N	L3	20.14	NA	NA	0	20.14	100	0	2	0	0	33	10.07	NA	NA	3.9949	34.0335	38.0285	0.8949	-0.3138	-1.0995	-1.4133	81.68	NA
E4	21	2	16	N	L4	15.19	NA	NA	0	15.19	100	0	1	0	0	17	15.19	NA	NA	11.3721	27.8875	39.2597	0.7103	-0.9114	0.2831	-0.6283	80.29	NA
E4	22	2	16	N	L5	0	NA	NA	0	0	0	0	0	0	0	0	NA	NA	NA	10.0149	74.6131	84.628	0.8817	-0.7731	2.9896	2.2165	82.61	NA
E4	33	3	18	N	L0	22.85	NA	NA	0	22.85	100	0	6	0	0	100	3.81	NA	NA	7.45	20.5596	28.0096	0.734	-0.5754	6.1599	5.5845	77.03	NA
